baseline,family,is_simple,mean_pearson_delta,n_splits,pool_scope,note
donor-shift,simple,True,0.5152001446864433,28,"all-cluster (C1+C3+C5, up to 28 splits, axis-mixed)",all-cluster mixed pool: simple floors (donor-shift/cell-mean/linear-PCA) win; FP-ridge #5. NOT the OP-style C5-only board the text cites.
cell-mean,simple,True,0.4269450081038743,28,"all-cluster (C1+C3+C5, up to 28 splits, axis-mixed)",all-cluster mixed pool: simple floors (donor-shift/cell-mean/linear-PCA) win; FP-ridge #5. NOT the OP-style C5-only board the text cites.
linear-PCA,simple,True,0.4240066182990307,28,"all-cluster (C1+C3+C5, up to 28 splits, axis-mixed)",all-cluster mixed pool: simple floors (donor-shift/cell-mean/linear-PCA) win; FP-ridge #5. NOT the OP-style C5-only board the text cites.
CINEMA-OT,ot,False,0.3842284525182863,20,"all-cluster (C1+C3+C5, up to 28 splits, axis-mixed)",all-cluster mixed pool: simple floors (donor-shift/cell-mean/linear-PCA) win; FP-ridge #5. NOT the OP-style C5-only board the text cites.
FP-ridge,chemistry,False,0.3427994803227397,5,"all-cluster (C1+C3+C5, up to 28 splits, axis-mixed)",all-cluster mixed pool: simple floors (donor-shift/cell-mean/linear-PCA) win; FP-ridge #5. NOT the OP-style C5-only board the text cites.
scGen,latent,False,0.2750860008839676,28,"all-cluster (C1+C3+C5, up to 28 splits, axis-mixed)",all-cluster mixed pool: simple floors (donor-shift/cell-mean/linear-PCA) win; FP-ridge #5. NOT the OP-style C5-only board the text cites.
CPA,latent,False,0.2541480468467758,28,"all-cluster (C1+C3+C5, up to 28 splits, axis-mixed)",all-cluster mixed pool: simple floors (donor-shift/cell-mean/linear-PCA) win; FP-ridge #5. NOT the OP-style C5-only board the text cites.
AttentionPert,graph,False,0.1827288763022282,15,"all-cluster (C1+C3+C5, up to 28 splits, axis-mixed)",all-cluster mixed pool: simple floors (donor-shift/cell-mean/linear-PCA) win; FP-ridge #5. NOT the OP-style C5-only board the text cites.
GEARS,graph,False,0.1612060920585989,15,"all-cluster (C1+C3+C5, up to 28 splits, axis-mixed)",all-cluster mixed pool: simple floors (donor-shift/cell-mean/linear-PCA) win; FP-ridge #5. NOT the OP-style C5-only board the text cites.
scGPT,foundation,False,0.0411397482280659,12,"all-cluster (C1+C3+C5, up to 28 splits, axis-mixed)",all-cluster mixed pool: simple floors (donor-shift/cell-mean/linear-PCA) win; FP-ridge #5. NOT the OP-style C5-only board the text cites.
STATE,hybrid,False,0.0065369194943523,20,"all-cluster (C1+C3+C5, up to 28 splits, axis-mixed)",all-cluster mixed pool: simple floors (donor-shift/cell-mean/linear-PCA) win; FP-ridge #5. NOT the OP-style C5-only board the text cites.
ctrl-pred,simple,True,-0.0028258224098273,28,"all-cluster (C1+C3+C5, up to 28 splits, axis-mixed)",all-cluster mixed pool: simple floors (donor-shift/cell-mean/linear-PCA) win; FP-ridge #5. NOT the OP-style C5-only board the text cites.
