cluster,axis,split,baseline,family,is_simple,pearson_delta,e_distance
C1,cell-context,C1_loct_B,ctrl-pred,simple,True,-0.0230008895159699,18.456674351499696
C1,cell-context,C1_loct_B,cell-mean,simple,True,0.665027529001236,19.40373053738321
C1,cell-context,C1_loct_B,donor-shift,simple,True,0.8287310004234314,8.074922939906596
C1,cell-context,C1_loct_B,linear-PCA,simple,True,0.8291792422533035,8.074921651857387
C1,cell-context,C1_loct_CD4T,ctrl-pred,simple,True,-0.0036910806084051,14.398840259885358
C1,cell-context,C1_loct_CD4T,cell-mean,simple,True,0.6202834099531174,23.06118069399911
C1,cell-context,C1_loct_CD4T,donor-shift,simple,True,0.7853800654411316,10.887107370868122
C1,cell-context,C1_loct_CD4T,linear-PCA,simple,True,0.7845205888152122,10.887104855826824
C1,cell-context,C1_loct_CD8T,ctrl-pred,simple,True,0.0194379523745737,14.759000179376518
C1,cell-context,C1_loct_CD8T,cell-mean,simple,True,0.6186532527208328,18.448633083102045
C1,cell-context,C1_loct_CD8T,donor-shift,simple,True,0.7220446318387985,11.102067197864624
C1,cell-context,C1_loct_CD8T,linear-PCA,simple,True,0.7210860922932625,11.1020658973748
C1,cell-context,C1_loct_DC,ctrl-pred,simple,True,0.0040335492813028,26.09258149478487
C1,cell-context,C1_loct_DC,cell-mean,simple,True,0.711854912340641,19.82279060566729
C1,cell-context,C1_loct_DC,donor-shift,simple,True,0.8214832991361618,12.015966040564038
C1,cell-context,C1_loct_DC,linear-PCA,simple,True,0.8222806081175804,12.015969000631385
C1,cell-context,C1_loct_Mk,ctrl-pred,simple,True,0.0133177924435585,17.568305917888132
C1,cell-context,C1_loct_Mk,cell-mean,simple,True,0.5344624295830727,15.297619254758414
C1,cell-context,C1_loct_Mk,donor-shift,simple,True,0.6030845455825329,14.033028244198974
C1,cell-context,C1_loct_Mk,linear-PCA,simple,True,0.6024060249328613,14.033025854909706
C1,cell-context,C1_loct_Mono_CD14,ctrl-pred,simple,True,-0.019322328036651,34.48253265643909
C1,cell-context,C1_loct_Mono_CD14,cell-mean,simple,True,0.4558531008660793,35.98181017195074
C1,cell-context,C1_loct_Mono_CD14,donor-shift,simple,True,0.8190202116966248,18.790426985347736
C1,cell-context,C1_loct_Mono_CD14,linear-PCA,simple,True,0.8190374076366425,18.7904281587806
C1,cell-context,C1_loct_Mono_FCGR3A,ctrl-pred,simple,True,0.0054149944335222,27.79312847876849
C1,cell-context,C1_loct_Mono_FCGR3A,cell-mean,simple,True,0.5287328287959099,24.805488635350784
