model,family,split,donor,pearson_delta,e_distance,aucell_program_corr,n_test,n_strata,n_response_genes,leak_free,cluster,dataset,modality,registry_task,seed,ran,headline_eligible
cell-mean,simple,C2_soskic_LODO_D348,D348,0.2442,5.7799,-0.0703,600.0,2.0,83.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D348,D348,-0.0193,5.7836,-0.0268,600.0,2.0,83.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D348,D348,-0.0193,5.8084,-0.0268,600.0,2.0,83.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D348,D348,-0.0351,5.8057,-0.0268,600.0,2.0,83.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D348,D348,0.1229,5.8834,-0.0752,600.0,2.0,83.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D349,D349,0.2732,5.9293,-0.0623,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D349,D349,-0.0343,5.9149,-0.0735,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D349,D349,0.0576,5.9307,-0.091,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D349,D349,-0.0008,5.929,-0.0998,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D349,D349,0.1078,6.0244,-0.0935,600.0,2.0,76.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D350,D350,0.1751,6.7677,-0.0776,555.0,2.0,83.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D350,D350,-0.0711,6.8253,-0.016,555.0,2.0,83.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D350,D350,0.0003,6.818,-0.0167,555.0,2.0,83.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D350,D350,0.0279,6.8179,-0.025,555.0,2.0,83.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D350,D350,0.1485,6.8283,-0.0205,555.0,2.0,83.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D351,D351,0.234,6.0428,-0.0764,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D351,D351,-0.0279,6.0028,-0.0198,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D351,D351,-0.0342,6.0228,-0.0198,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D351,D351,0.0291,6.0218,-0.0198,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D351,D351,0.1143,6.0492,-0.0198,600.0,2.0,81.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D352,D352,0.2925,6.2767,-0.0395,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D352,D352,-0.1109,6.3116,-0.0395,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D352,D352,0.0215,6.3134,-0.0395,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D352,D352,0.0245,6.313,-0.0395,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D352,D352,0.1627,6.3122,-0.0395,600.0,2.0,77.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D353,D353,0.2891,6.5331,-0.0755,583.0,2.0,84.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D353,D353,-0.0498,6.4803,-0.0438,583.0,2.0,84.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D353,D353,0.0038,6.4823,-0.0359,583.0,2.0,84.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D353,D353,0.0561,6.4827,-0.0412,583.0,2.0,84.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D353,D353,0.1976,6.5378,-0.0197,583.0,2.0,84.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D354,D354,0.2695,5.6687,-0.0717,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D354,D354,-0.0417,5.637,-0.0188,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
donor-shift,simple,C2_soskic_LODO_D354,D354,-0.0838,5.6581,-0.0188,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
linear-PCA,simple,C2_soskic_LODO_D354,D354,-0.0712,5.6574,-0.0188,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
scGen,latent,C2_soskic_LODO_D354,D354,0.0618,5.9152,-0.0188,600.0,2.0,79.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
cell-mean,simple,C2_soskic_LODO_D355,D355,0.491,6.0154,-0.0772,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
ctrl-pred,simple,C2_soskic_LODO_D355,D355,-0.0372,6.604,-0.0231,600.0,2.0,74.0,1.0,C2,soskic_CD4_activation,RNA,C2_LODO,0,True,True
