condition,gene,mean,sd,minimum,maximum,negative_fraction,fraction_at_ten
0h,LINC00115,-0.01178412748836048,0.8470768151894235,-0.1605786681175232,10.0,0.9925773765341527,0.0054950429533985835
0h,TNFRSF18,-0.0031930727524428887,0.9628574447681264,-0.5018025636672974,10.0,0.9602285477550879,0.002077183776101454
0h,TNFRSF4,-0.00019830617834118658,0.9978717155089815,-0.6438231468200684,10.0,0.9661206147543342,0.00023015886715805584
0h,TNFRSF25,-1.2273964800518609e-09,0.9999971479569647,-1.2805932760238647,4.834804058074951,0.7110182803680241,0.0
0h,DNAJC11,-0.0006719252679722052,0.9924343004918053,-0.4152126908302307,10.0,0.9804480042349232,0.0005351193661424799
0h,TNFRSF1B,1.7518097131749484e-09,0.9999971439554624,-0.7578401565551758,8.504385948181152,0.9266311071216907,0.0
0h,EFHD2,-5.747547716441413e-06,0.9999384543186226,-0.6546527147293091,10.0,0.9603206113019511,1.726191503685419e-05
0h,PLEKHM2,-0.008223855783602187,0.89728631003033,-0.1998913437128067,10.0,0.9910986058126622,0.00457440748476636
0h,CDC42,5.816294044046852e-09,0.9999970970034884,-1.4834014177322388,3.674358367919922,0.5577727526425115,0.0
0h,ID3,1.1900745556753499e-08,0.999997063704605,-1.0514205694198608,5.09995174407959,0.7871548336239089,0.0
0h,AL445686.2,3.104227722426102e-09,0.9999971014564848,-0.7290771007537842,7.739562034606934,0.8972052959555333,0.0
0h,LDLRAP1,-1.3068728979980506e-09,0.9999971759840244,-1.3069130182266235,5.299096584320068,0.7463131426467119,0.0
0h,PAQR7,-0.018655332795296284,0.7249142681281248,-0.12766845524311066,10.0,0.9947408698854384,0.004925399757182395
0h,STMN1,1.0146401830669497e-08,0.9999971072679971,-0.9042689204216003,4.862774848937988,0.7545931078927229,0.0
0h,SH3BGRL3,1.095247448847643e-09,0.9999971001836346,-2.68619704246521,2.9984514713287354,0.40294488270528733,0.0
0h,UBXN11,-3.006637878061575e-09,0.9999971185613985,-0.6762580275535583,7.323744297027588,0.9007094647080147,0.0
0h,ZNF683,-0.015983562716521234,0.7681481174773525,-0.9134005308151245,10.0,0.6709706374825223,0.0040738119486975885
0h,SYTL1,7.740427572439539e-09,0.9999971472170588,-0.691996693611145,8.002802848815918,0.9059340709925026,0.0
0h,IFI6,1.0509257148043404e-09,0.9999972146155118,-0.472397118806839,8.435054779052734,0.9164523312216257,0.0
0h,IQCC,-0.02293745658484265,0.5909961376702801,-0.13252124190330505,10.0,0.9965361090492713,0.003440875064012935
0h,MARCKSL1,-2.9249851159552882e-09,0.9999971028632367,-1.20644211769104,4.830886363983154,0.790106621095211,0.0
