task_key,cluster,task_name,task_split,family,role,family_baselines,scored_member,status,unit,n_unit,metric,binding_floor,floor,model_score,best_model_gap,ci_low,ci_high,margin_min,margin_max,units_above_floor,inference,evidence,member_selection,interpretation
T1,C1,cytokine/Kang,cell-context (LOCT),Flow,conditioned,CellFlow,CellFlow,native,lineage,8,pearson_delta,linear-PCA,0.7803340183986434,0.798473897664409,0.01813987926576567,-0.011111182524546,0.05080124781388423,-0.045993833964486974,0.10615542864672589,4/8,bootstrap 95% CI,inconclusive (interval spans zero),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T1,C1,cytokine/Kang,cell-context (LOCT),Foundation,conditioned,scFoundation;scGPT,scFoundation,adapted,lineage,8,pearson_delta,linear-PCA,0.7803340183986434,0.6773348390507976,-0.10299917934784573,-0.13437673468909433,-0.07349494654464284,-0.18741475848350764,-0.038783191915013004,0/8,bootstrap 95% CI,negative margin CI (unadjusted),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T1,C1,cytokine/Kang,cell-context (LOCT),Hybrid,conditioned,STATE,STATE,native,lineage,8,pearson_delta,linear-PCA,0.7803340183986434,0.7081211484055274,-0.07221286999311588,-0.10213279401086531,-0.0444941308198786,-0.1500914717052767,-0.006558647739942081,0/8,bootstrap 95% CI,negative margin CI (unadjusted),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T1,C1,cytokine/Kang,cell-context (LOCT),Latent,conditioned,Biolord;scGen,scGen,native,lineage,8,pearson_delta,linear-PCA,0.7803340183986434,0.7496655437905164,-0.03066847460812694,-0.06001912245235788,0.0004035620952833052,-0.09073671696518237,0.0507260366150839,2/8,bootstrap 95% CI,inconclusive (interval spans zero),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T1,C1,cytokine/Kang,cell-context (LOCT),OT,conditioned,CellOT;scPRAM,CellOT,native,lineage,8,pearson_delta,linear-PCA,0.7803340183986434,0.7865032952386336,0.006169276839990218,-0.023757387774505135,0.038222939572145204,-0.04624361503930419,0.09397650160421556,4/8,bootstrap 95% CI,inconclusive (interval spans zero),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T2,C2,donor/Soskic,donor (LODO),Flow,conditioned,CellFlow,CellFlow,native,donor,106,pearson_delta,cell-mean,0.25981503890705626,0.23734418502622434,-0.022470853880831927,-0.03322172992719194,-0.01137749754547592,-0.16039636062176,0.12922228763219387,33/106,bootstrap 95% CI,negative margin CI (unadjusted),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T2,C2,donor/Soskic,donor (LODO),Foundation,conditioned,scFoundation;scGPT,scGPT,adapted,donor,106,pearson_delta,cell-mean,0.25981503890705626,0.25008940023910714,-0.009725638667949097,-0.01153668151697009,-0.007974710467837265,-0.045163305543996,0.015240851784571657,13/106,bootstrap 95% CI,negative margin CI (unadjusted),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T2,C2,donor/Soskic,donor (LODO),Hybrid,conditioned,PertAdapt;STATE,PertAdapt,native,donor,106,pearson_delta,cell-mean,0.25981503890705626,0.2196314708060061,-0.04018356810105015,-0.05254677045222183,-0.02767612848665684,-0.2048714324649282,0.2143253294658319,23/106,bootstrap 95% CI,negative margin CI (unadjusted),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T2,C2,donor/Soskic,donor (LODO),Latent,conditioned,Biolord;scGen,scGen,native,donor,106,pearson_delta,cell-mean,0.25981503890705626,0.1470496063706489,-0.11276543253640733,-0.12785543655219528,-0.09942933110838881,-0.4493247805743236,0.06761058121037904,5/106,bootstrap 95% CI,negative margin CI (unadjusted),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T2,C2,donor/Soskic,donor (LODO),OT,conditioned,CellOT;scPRAM,CellOT,native,donor,106,pearson_delta,cell-mean,0.25981503890705626,0.36662529237486785,0.1068102534678117,0.08570356640303138,0.1284731465628966,-0.27260943959425343,0.4734580430545481,93/106,bootstrap 95% CI,positive margin CI (unadjusted),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
