Model,Evaluation,Units,TCR activation,IL2–STAT5,proliferation,effector cytokine,Treg / exhaustion
cell-mean,floor,2/5,Undefined,Undefined,Undefined,Undefined,Undefined
linear-PCA,floor,2/5,Undefined,Undefined,Undefined,Undefined,Undefined
linear-shift-KOemb,diagnostic,2/5,"-0.002 [-0.109, 0.105]","-0.019 [-0.150, 0.113]","0.202 [0.065, 0.338]","-0.032 [-0.314, 0.251]","0.171 [0.089, 0.253]"
Biolord,native,2/5,"0.371 [-0.102, 0.844]","-0.488 [-0.762, -0.215]","0.149 [-0.115, 0.412]","0.273 [-0.080, 0.626]","0.295 [-0.107, 0.696]"
CellFlow,native,2/5,"-0.276 [-0.518, -0.034]","0.061 [-0.129, 0.250]","0.039 [-0.042, 0.120]","-0.052 [-0.424, 0.321]","-0.098 [-0.292, 0.095]"
GEARS,native,2/5,"0.384 [0.167, 0.600]","0.079 [0.057, 0.100]","0.241 [0.121, 0.362]","0.106 [-0.190, 0.401]","0.364 [0.347, 0.381]"
AttentionPert,native,2/5,"0.202 [0.126, 0.278]","-0.210 [-0.492, 0.073]","0.455 [0.306, 0.604]","0.238 [-0.040, 0.517]","0.148 [0.039, 0.257]"
PerturbNet,native,2/5,"0.641 [0.523, 0.759]","0.450 [0.430, 0.469]","0.399 [0.126, 0.671]","0.313 [0.248, 0.379]","0.389 [0.256, 0.521]"
STATE,native,2/5,"0.327 [-0.134, 0.789]","-0.134 [-0.196, -0.073]","-0.047 [-0.182, 0.088]","-0.200 [-0.310, -0.090]","0.279 [-0.131, 0.689]"
PertAdapt,native,2/5,"0.230 [0.136, 0.324]","-0.096 [-0.403, 0.211]","0.167 [0.038, 0.296]","0.477 [0.097, 0.857]","0.200 [0.098, 0.302]"
scGPT,native,2/5,"-0.045 [-0.371, 0.281]","-0.023 [-0.146, 0.100]","-0.118 [-0.370, 0.133]","0.256 [0.245, 0.266]","0.270 [0.036, 0.505]"
scFoundation,native,2/5,"0.422 [0.069, 0.775]","0.013 [-0.064, 0.090]","0.315 [0.160, 0.470]","0.379 [0.198, 0.560]","0.187 [0.127, 0.248]"
