Entry,Role,Slope (per 1 SD Tanimoto),90% CI,TOST equivalence p,R² (error vs distance)
chemCPA,native,+0.005,"[−0.015, +0.025]",3.4 × 10⁻⁴,0.007
STATE,native,−0.009,"[−0.029, +0.011]",0.001,0.023
scGPT,adapted,−0.002,"[−0.027, +0.023]",0.002,0.001
CellFlow,native,−0.001,"[−0.029, +0.026]",0.003,0.000
FP-ridge,diagnostic,−0.005,"[−0.031, +0.020]",0.003,0.005
PRnet,native,−0.006,"[−0.034, +0.021]",0.006,0.006
scFoundation,adapted,−0.011,"[−0.037, +0.014]",0.008,0.021
cell-mean,floor member,−0.006,"[−0.036, +0.024]",0.009,0.004
biolord,native,−0.002,"[−0.035, +0.031]",0.010,0.000
linear-PCA,floor member,−0.008,"[−0.042, +0.025]",0.021,0.007
PerturbNet,native,−0.019,"[−0.054, +0.017]",0.073,0.029
