Morgan radius,Fingerprint bits,Ridge α,Pearson-Δ,Binding floor,Margin
1,512,1.0,0.110,0.172,−0.062
1,512,10.0,0.151,0.172,−0.021
1,512,100.0,0.176,0.172,+0.003
1,1024,1.0,0.118,0.172,−0.054
1,1024,10.0,0.157,0.172,−0.015
1,1024,100.0,0.178,0.172,+0.005
1,2048,1.0,0.121,0.172,−0.051
1,2048,10.0,0.156,0.172,−0.016
1,2048,100.0,0.177,0.172,+0.005
2,512,1.0,0.143,0.172,−0.030
2,512,10.0,0.162,0.172,−0.011
2,512,100.0,0.179,0.172,+0.007
2,1024,1.0,0.149,0.172,−0.023
2,1024,10.0,0.164,0.172,−0.008
2,1024,100.0,0.180,0.172,+0.008
2,2048,1.0,0.154,0.172,−0.018
2,2048,10.0,0.165,0.172,−0.008
2,2048,100.0,0.178,0.172,+0.005
3,512,1.0,0.138,0.172,−0.034
3,512,10.0,0.151,0.172,−0.022
3,512,100.0,0.173,0.172,+0.001
3,1024,1.0,0.149,0.172,−0.023
3,1024,10.0,0.158,0.172,−0.014
3,1024,100.0,0.176,0.172,+0.003
3,2048,1.0,0.155,0.172,−0.017
3,2048,10.0,0.161,0.172,−0.011
3,2048,100.0,0.175,0.172,+0.003
