Model,Evaluation,Norm ratio: shared support,Slope: shared support,Norm ratio: full census,Slope: full census
CPA,native,2.345,0.035,2.345,0.035
CellFlow,native,2.458,0.035,2.464,0.035
CellOT,native,2.019,0.080,2.019,0.081
FP-ridge,diagnostic,0.596,0.669,0.596,0.668
PRnet,native,3.015,0.040,3.013,0.040
PerturbNet,native,2.073,0.058,2.072,0.058
STATE,native,2.642,0.019,2.631,0.018
cell-mean,floor,2.595,0.001,2.592,0.000
linear-PCA,floor,0.377,0.842,0.376,0.837
scFoundation,adapted,0.460,0.754,0.459,0.753
scGPT,adapted,0.762,0.465,0.761,0.466
scGen,native,1.757,0.091,1.759,0.090
scPRAM,native,2.299,0.078,2.293,0.079
