task_key,cluster,task_name,task_split,family,role,family_baselines,scored_member,status,unit,n_unit,metric,binding_floor,floor,model_score,best_model_gap,ci_low,ci_high,margin_min,margin_max,units_above_floor,inference,evidence,member_selection,interpretation
T1,C1,cytokine/Kang,cell-context (LOCT),Flow,conditioned,CellFlow;PerturbNet,CellFlow,native,lineage,8,pearson_delta,linear-PCA,0.7803340183986434,0.798473897664409,0.01813987926576567,-0.011111182524546,0.05080124781388423,-0.045993833964486974,0.10615542864672589,4/8,bootstrap 95% CI,inconclusive (interval spans zero),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T1,C1,cytokine/Kang,cell-context (LOCT),Foundation,conditioned,scFoundation;scGPT,scFoundation,adapted,lineage,8,pearson_delta,linear-PCA,0.7803340183986434,0.6773348390507976,-0.10299917934784573,-0.13437673468909433,-0.07349494654464284,-0.18741475848350764,-0.038783191915013004,0/8,bootstrap 95% CI,negative margin CI (unadjusted),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T1,C1,cytokine/Kang,cell-context (LOCT),Hybrid,conditioned,STATE,STATE,native,lineage,8,pearson_delta,linear-PCA,0.7803340183986434,0.6415654229669217,-0.13876859543172174,-0.18455169461579085,-0.09475559144427738,-0.24000335241957782,-0.04205478009596786,0/8,bootstrap 95% CI,negative margin CI (unadjusted),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T1,C1,cytokine/Kang,cell-context (LOCT),Latent,conditioned,CPA;scGen,scGen,native,lineage,8,pearson_delta,linear-PCA,0.7803340183986434,0.7496655437905164,-0.03066847460812694,-0.06001912245235788,0.0004035620952833052,-0.09073671696518237,0.0507260366150839,2/8,bootstrap 95% CI,inconclusive (interval spans zero),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T1,C1,cytokine/Kang,cell-context (LOCT),OT,conditioned,CellOT;scPRAM,CellOT,native,lineage,8,pearson_delta,linear-PCA,0.7803340183986434,0.7865032952386336,0.006169276839990218,-0.023757387774505135,0.038222939572145204,-0.04624361503930419,0.09397650160421556,4/8,bootstrap 95% CI,inconclusive (interval spans zero),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T2,C2,donor/Soskic,donor (LODO),Flow,conditioned,CellFlow;PerturbNet,PerturbNet,native,donor,106,pearson_delta,cell-mean,0.25981503890705626,0.2545569332837196,-0.005258105623336682,-0.013201851653701203,0.001536803080164087,-0.26401110305613074,0.07176883333842021,42/106,bootstrap 95% CI,inconclusive (interval spans zero),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T2,C2,donor/Soskic,donor (LODO),Foundation,conditioned,scFoundation;scGPT,scGPT,adapted,donor,106,pearson_delta,cell-mean,0.25981503890705626,0.25008940023910714,-0.009725638667949097,-0.01153668151697009,-0.007974710467837265,-0.045163305543996,0.015240851784571657,13/106,bootstrap 95% CI,negative margin CI (unadjusted),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T2,C2,donor/Soskic,donor (LODO),Hybrid,conditioned,STATE,STATE,native,donor,106,pearson_delta,cell-mean,0.25981503890705626,0.13594024973303176,-0.12387478917402446,-0.13477362341892135,-0.11240239021520672,-0.24733913311742306,0.06417600987256984,3/106,bootstrap 95% CI,negative margin CI (unadjusted),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T2,C2,donor/Soskic,donor (LODO),Latent,conditioned,CPA;scGen,CPA,native,donor,106,pearson_delta,cell-mean,0.25981503890705626,0.20816876050922536,-0.05164627839783086,-0.05938152785351152,-0.043490480847328004,-0.15135632443438093,0.13795943372396083,8/106,bootstrap 95% CI,negative margin CI (unadjusted),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T2,C2,donor/Soskic,donor (LODO),OT,conditioned,CellOT;scPRAM,CellOT,native,donor,106,pearson_delta,cell-mean,0.25981503890705626,0.36662529237486785,0.1068102534678117,0.08570356640303138,0.1284731465628966,-0.27260943959425343,0.4734580430545481,93/106,bootstrap 95% CI,positive margin CI (unadjusted),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T3,C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),Deterministic shift,diagnostic: linear-shift-KOemb,linear-shift-KOemb,linear-shift-KOemb,diagnostic,dataset,5,pearson_delta,cell-mean,0.5020104061970738,0.4940751124826147,-0.007935293714459123,,,-0.02689851289292461,0.002230001170612228,1/5,per-unit range (n = 5; CI not reported),mixed unit margins (descriptive),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T3,C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),Flow,conditioned,CellFlow;PerturbNet,PerturbNet,native,dataset,5,pearson_delta,cell-mean,0.5020104061970738,0.37121886990620007,-0.13079153629087376,,,-0.19513200456406543,0.006539893087501691,1/5,per-unit range (n = 5; CI not reported),mixed unit margins (descriptive),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T3,C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),Foundation,conditioned,scFoundation;scGPT,scGPT,native,dataset,5,pearson_delta,cell-mean,0.5020104061970738,0.16882010048805718,-0.3331903057090166,,,-0.6247748250322364,-0.12892029869393246,0/5,per-unit range (n = 5; CI not reported),negative in all units (descriptive),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
T3,C3,gene/CRISPR,unseen-perturbation (LO-gene 10%),Graph,conditioned,AttentionPert;GEARS,AttentionPert,native,dataset,5,pearson_delta,cell-mean,0.5020104061970738,0.23557343791253643,-0.2664369682845374,,,-0.3281198060948824,-0.11476456061476714,0/5,per-unit range (n = 5; CI not reported),negative in all units (descriptive),retrospective maximum task-macro score,descriptive; member and floor held fixed; no selection or multiplicity correction
