Task,Cluster / dataset,Split,Unit,n (units),Family,Model,Status,Pearson-Δ,Cell-mean floor,Linear-PCA floor,Binding floor,Margin,"Uncertainty (95% CI, or unit range)",Detectable margin (80% power),Verdict
T1,cytokine/Kang,cell-context (LOCT),lineage,8,Latent,biolord,native,0.588,0.590,0.780,linear-PCA,−0.192,"[−0.271, −0.120]",0.108,negative margin CI (unadjusted)
T1,cytokine/Kang,cell-context (LOCT),lineage,8,Flow,CellFlow,native,0.798,0.590,0.780,linear-PCA,+0.018,"[−0.011, +0.051]",0.044,inconclusive (interval spans zero)
T1,cytokine/Kang,cell-context (LOCT),lineage,8,OT,CellOT,native,0.787,0.590,0.780,linear-PCA,+0.006,"[−0.024, +0.038]",0.044,inconclusive (interval spans zero)
T1,cytokine/Kang,cell-context (LOCT),lineage,8,Foundation,scFoundation,adapted,0.677,0.590,0.780,linear-PCA,−0.103,"[−0.134, −0.073]",0.044,negative margin CI (unadjusted)
T1,cytokine/Kang,cell-context (LOCT),lineage,8,Latent,scGen,native,0.750,0.590,0.780,linear-PCA,−0.031,"[−0.060, +0.000]",0.043,inconclusive (interval spans zero)
T1,cytokine/Kang,cell-context (LOCT),lineage,8,Foundation,scGPT,adapted,0.585,0.590,0.780,linear-PCA,−0.195,"[−0.277, −0.122]",0.111,negative margin CI (unadjusted)
T1,cytokine/Kang,cell-context (LOCT),lineage,8,OT,scPRAM,native,0.751,0.590,0.780,linear-PCA,−0.030,"[−0.060, +0.007]",0.048,inconclusive (interval spans zero)
T1,cytokine/Kang,cell-context (LOCT),lineage,8,Hybrid,STATE,native,0.708,0.590,0.780,linear-PCA,−0.072,"[−0.102, −0.044]",0.041,negative margin CI (unadjusted)
T2,donor/Soskic,donor (LODO),donor,106,Latent,biolord,native,0.082,0.260,0.036,cell-mean,−0.178,"[−0.192, −0.164]",0.020,negative margin CI (unadjusted)
T2,donor/Soskic,donor (LODO),donor,106,Flow,CellFlow,native,0.237,0.260,0.036,cell-mean,−0.022,"[−0.033, −0.011]",0.016,negative margin CI (unadjusted)
T2,donor/Soskic,donor (LODO),donor,106,OT,CellOT,native,0.367,0.260,0.036,cell-mean,+0.107,"[+0.086, +0.128]",0.031,positive margin CI (unadjusted)
T2,donor/Soskic,donor (LODO),donor,106,Hybrid,PertAdapt,adapted,0.220,0.260,0.036,cell-mean,−0.040,"[−0.053, −0.028]",0.018,negative margin CI (unadjusted)
T2,donor/Soskic,donor (LODO),donor,106,Foundation,scFoundation,adapted,0.120,0.260,0.036,cell-mean,−0.140,"[−0.153, −0.128]",0.018,negative margin CI (unadjusted)
T2,donor/Soskic,donor (LODO),donor,106,Latent,scGen,native,0.147,0.260,0.036,cell-mean,−0.113,"[−0.128, −0.099]",0.020,negative margin CI (unadjusted)
T2,donor/Soskic,donor (LODO),donor,106,Foundation,scGPT,adapted,0.250,0.260,0.036,cell-mean,−0.010,"[−0.012, −0.008]",0.003,negative margin CI (unadjusted)
T2,donor/Soskic,donor (LODO),donor,106,OT,scPRAM,native,0.159,0.260,0.036,cell-mean,−0.101,"[−0.120, −0.083]",0.026,negative margin CI (unadjusted)
T2,donor/Soskic,donor (LODO),donor,106,Hybrid,STATE,native,0.183,0.260,0.036,cell-mean,−0.077,"[−0.087, −0.066]",0.015,negative margin CI (unadjusted)
T3,gene/CRISPR,unseen-perturbation (LO-gene 10%),dataset,5,Graph,AttentionPert,native,0.227,0.494,0.297,cell-mean,−0.267,range −0.327 to −0.125,n.a.,negative in all units (descriptive)
T3,gene/CRISPR,unseen-perturbation (LO-gene 10%),dataset,5,Latent,biolord,native,0.394,0.494,0.297,cell-mean,−0.100,range −0.138 to +0.042,n.a.,mixed unit margins (descriptive)
T3,gene/CRISPR,unseen-perturbation (LO-gene 10%),dataset,5,Flow,CellFlow,native,0.321,0.494,0.297,cell-mean,−0.173,range −0.416 to −0.046,n.a.,negative in all units (descriptive)
T3,gene/CRISPR,unseen-perturbation (LO-gene 10%),dataset,5,OT,CINEMA-OT,diagnostic,0.458,0.494,0.297,cell-mean,−0.036,range −0.061 to −0.003,n.a.,negative in all units (descriptive)
T3,gene/CRISPR,unseen-perturbation (LO-gene 10%),dataset,5,Graph,GEARS,native,0.207,0.494,0.297,cell-mean,−0.287,range −0.447 to −0.137,n.a.,negative in all units (descriptive)
T3,gene/CRISPR,unseen-perturbation (LO-gene 10%),dataset,5,Flow,PerturbNet,native,0.362,0.494,0.297,cell-mean,−0.132,range −0.196 to +0.005,n.a.,mixed unit margins (descriptive)
T3,gene/CRISPR,unseen-perturbation (LO-gene 10%),dataset,5,Foundation,scGPT,native,0.165,0.494,0.297,cell-mean,−0.328,range −0.622 to −0.130,n.a.,negative in all units (descriptive)
T4,complex/Frangieh,"unseen-KO (modality, RNA)",modality-fold,2,Graph,AttentionPert,native,0.508,0.661,0.283,cell-mean,−0.153,range −0.158 to −0.149,n.a.,negative in all units (descriptive)
T4,complex/Frangieh,"unseen-KO (modality, RNA)",modality-fold,2,Latent,biolord,native,0.613,0.661,0.283,cell-mean,−0.048,range −0.051 to −0.045,n.a.,negative in all units (descriptive)
T4,complex/Frangieh,"unseen-KO (modality, RNA)",modality-fold,2,Flow,CellFlow,native,0.492,0.661,0.283,cell-mean,−0.169,range −0.170 to −0.168,n.a.,negative in all units (descriptive)
T4,complex/Frangieh,"unseen-KO (modality, RNA)",modality-fold,2,Graph,GEARS,native,0.442,0.661,0.283,cell-mean,−0.220,range −0.236 to −0.203,n.a.,negative in all units (descriptive)
T4,complex/Frangieh,"unseen-KO (modality, RNA)",modality-fold,2,Deterministic shift,linear-shift-KOemb,diagnostic,0.618,0.661,0.283,cell-mean,−0.044,range −0.055 to −0.032,n.a.,negative in all units (descriptive)
T4,complex/Frangieh,"unseen-KO (modality, RNA)",modality-fold,2,Flow,PerturbNet,native,0.598,0.661,0.283,cell-mean,−0.063,range −0.065 to −0.061,n.a.,negative in all units (descriptive)
T4,complex/Frangieh,"unseen-KO (modality, RNA)",modality-fold,2,Foundation,scGPT,native,0.557,0.661,0.283,cell-mean,−0.104,range −0.109 to −0.100,n.a.,negative in all units (descriptive)
T5c,small-mol/OP3,cell-context (LOCT),lineage,4,Latent,biolord,native,0.079,0.025,0.269,linear-PCA,−0.191,range −0.252 to −0.122,n.a.,negative in all units (descriptive)
T5c,small-mol/OP3,cell-context (LOCT),lineage,4,Flow,CellFlow,native,0.104,0.025,0.269,linear-PCA,−0.166,range −0.199 to −0.116,n.a.,negative in all units (descriptive)
T5c,small-mol/OP3,cell-context (LOCT),lineage,4,OT,CellOT,native,0.101,0.025,0.269,linear-PCA,−0.168,range −0.240 to −0.095,n.a.,negative in all units (descriptive)
T5c,small-mol/OP3,cell-context (LOCT),lineage,4,OT,CINEMA-OT,diagnostic,0.253,0.025,0.269,linear-PCA,−0.016,range −0.035 to +0.005,n.a.,mixed unit margins (descriptive)
T5c,small-mol/OP3,cell-context (LOCT),lineage,4,Chemistry,FP-ridge,diagnostic,0.387,0.025,0.269,linear-PCA,+0.118,range +0.105 to +0.130,n.a.,positive in all units (descriptive)
T5c,small-mol/OP3,cell-context (LOCT),lineage,4,Chemistry,PRnet,native,0.094,0.025,0.269,linear-PCA,−0.175,range −0.209 to −0.143,n.a.,negative in all units (descriptive)
T5c,small-mol/OP3,cell-context (LOCT),lineage,4,Foundation,scFoundation,adapted,0.055,0.025,0.269,linear-PCA,−0.214,range −0.257 to −0.126,n.a.,negative in all units (descriptive)
T5c,small-mol/OP3,cell-context (LOCT),lineage,4,Foundation,scGPT,adapted,0.025,0.025,0.269,linear-PCA,−0.245,range −0.312 to −0.170,n.a.,negative in all units (descriptive)
T5c,small-mol/OP3,cell-context (LOCT),lineage,4,OT,scPRAM,native,−0.009,0.025,0.269,linear-PCA,−0.278,range −0.342 to −0.178,n.a.,negative in all units (descriptive)
T5u,small-mol/OP3,unseen-compound,compound,28,Latent,biolord,native,0.127,0.172,0.150,cell-mean,−0.046,"[−0.077, −0.005]",0.051,negative margin CI (unadjusted)
T5u,small-mol/OP3,unseen-compound,compound,28,Flow,CellFlow,native,0.166,0.172,0.150,cell-mean,−0.006,"[−0.019, +0.008]",0.019,inconclusive (interval spans zero)
T5u,small-mol/OP3,unseen-compound,compound,28,OT,CINEMA-OT,diagnostic,0.172,0.172,0.150,cell-mean,0.000,"[−0.002, +0.002]",0.002,inconclusive (interval spans zero)
T5u,small-mol/OP3,unseen-compound,compound,28,Latent,CPA/chemCPA (chemCPA),native,0.112,0.172,0.150,cell-mean,−0.061,"[−0.086, −0.036]",0.036,negative margin CI (unadjusted)
