marker,alias,held_frac_pct,n_held_KO,predDelta,obsDelta_mean,obsDelta_sd,abs_err,sign_match_frac,sem,ci_lo,ci_hi,straddles_zero,effect_sd_units,z_vs_zero
CD117,CD117,25,62,-0.2862792015075683,-0.332794576883316,0.2262625694274902,0.0465153753757476,0.935483870967742,0.0287353750526806,-0.3891148770688208,-0.2764742766978111,False,1.4708335440783802,-11.581354907433864
CD119,IFNGR1 (CD119),25,62,-0.0918192863464355,-0.0760326832532882,0.1471825242042541,0.0157866030931472,0.7258064516129032,0.0186921992661488,-0.112668720606786,-0.0393966458997903,False,0.5165877108329318,-4.067615702716242
CD140a,CD140a,25,62,-0.0729991197586059,-0.0286659523844718,0.2769663035869598,0.044333167374134,0.5161290322580645,0.0351747557303172,-0.0976072067808874,0.0402753020119438,True,0.1034997832343582,-0.8149581081458526
CD140b,CD140b,25,62,-0.2478998899459839,-0.2595724165439605,0.1775431185960769,0.0116725265979766,0.967741935483871,0.0225479986097116,-0.3037656817424545,-0.2153791513454664,False,1.4620246540475952,-11.51199363797016
CD172a,CD172a,25,62,-0.2773795127868652,-0.301535964012146,0.187534213066101,0.0241564512252807,0.9193548387096774,0.0238168688762756,-0.3482161692341591,-0.2548557587901328,False,1.6078984153460163,-12.660604783045647
CD184,CD184,25,62,-0.2685372829437256,-0.2526475787162781,0.1861130595207214,0.0158897042274475,0.9193548387096774,0.0236363821955256,-0.2989740365443321,-0.206321120888224,False,1.35749516646976,-10.688927629715865
CD202b,CD202b,25,62,-0.2368994951248169,-0.2351109832525253,0.2125006318092346,0.0017885118722915,0.8870967741935484,0.0269876072273935,-0.2880057214471294,-0.1822162450579211,False,1.106401337496203,-8.711812843262301
CD274,PD-L1 (CD274),25,62,-0.0429344177246093,0.0420544296503067,0.1495155096054077,0.084988847374916,0.3548387096774194,0.0189884887083849,0.0048376756610266,0.0792711836395867,False,0.2812713527933939,2.214732846629138
CD29,CD29 (ITGB1),25,62,-0.0135402679443359,-0.0042069805786013,0.064932957291603,0.0093332873657345,0.532258064516129,0.0082464938225315,-0.0203698114694951,0.0119558503122925,True,0.0647896038325877,-0.5101538507319018
CD309,CD309,25,62,0.1712628602981567,0.1524645090103149,0.2505366802215576,0.0187983512878417,0.7903225806451613,0.0318181902063439,0.0901020021526357,0.214827015867994,False,0.608551645513486,4.791740448516033
CD44,CD44,25,62,0.0324888229370117,0.018391378223896,0.0552033185958862,0.0140974447131156,0.8064516129032258,0.0070108284725095,0.0046504069159893,0.0321323495318026,False,0.3331571125013223,2.6232817271184508
CD47,CD47,25,62,-0.0119743347167968,0.0046585914678871,0.0850022584199905,0.0166329257190227,0.5161290322580645,0.0107952976146418,-0.0164998030592019,0.0258169859949761,True,0.0548055022828841,0.4315389565146023
CD49f,CD49f,25,62,-0.002357006072998,0.0458137467503547,0.1774879246950149,0.0481707528233528,0.3387096774193548,0.0225409889772671,0.0016342201789967,0.0899932733217126,False,0.2581231755854851,2.032463917025044
