task_key,unit,stratum,partition,independent_control_r,shared_control_r
T3,chen,perturbation=BPTF,0,0.27980733239935207,0.4383192178924899
T3,chen,perturbation=BPTF,1,0.22115079592322304,0.24526121722670088
T3,chen,perturbation=BPTF,2,0.3663430831593496,0.4781521483866016
T3,chen,perturbation=BPTF,3,0.32115231449431875,0.4338363366469907
T3,chen,perturbation=BPTF,4,0.38844383731349597,0.4916825549806697
T3,chen,perturbation=BPTF,5,0.35171145000081694,0.458363760990422
T3,chen,perturbation=BPTF,6,0.38140471757643213,0.48218323792605444
T3,chen,perturbation=BPTF,7,0.36884444960598345,0.4725049500966805
T3,chen,perturbation=BPTF,8,0.38767163204410976,0.49314851982381386
T3,chen,perturbation=BPTF,9,0.3601361033629813,0.4411217011624403
T3,chen,perturbation=BPTF,10,0.3505265247006898,0.4459293091314617
T3,chen,perturbation=BPTF,11,0.30696316801470236,0.3950360772717327
T3,chen,perturbation=BPTF,12,0.31846125086512655,0.4467399493356047
T3,chen,perturbation=BPTF,13,0.39885212551542687,0.47367130886786946
T3,chen,perturbation=BPTF,14,0.3402179840867791,0.48024121763916044
T3,chen,perturbation=BPTF,15,0.3274745716230587,0.4364709412680521
T3,chen,perturbation=BPTF,16,0.35577865031136136,0.46727017017888095
T3,chen,perturbation=BPTF,17,0.2775548711711234,0.39173711341724593
T3,chen,perturbation=BPTF,18,0.3252273144401524,0.44707489079960633
T3,chen,perturbation=BPTF,19,0.3808670580950947,0.4743840004855365
T3,chen,perturbation=BPTF,20,0.3452026541432784,0.4304352756358901
T3,chen,perturbation=BPTF,21,0.3597594373044291,0.41476126667081953
T3,chen,perturbation=BPTF,22,0.35788352005903906,0.4726254522233729
T3,chen,perturbation=BPTF,23,0.36251098886267213,0.4431091086679008
T3,chen,perturbation=BPTF,24,0.36303424608384677,0.44287443206712385
T3,chen,perturbation=BPTF,25,0.30416566648192805,0.2978121866259514
T3,chen,perturbation=BPTF,26,0.3582395252797421,0.47355527188986857
T3,chen,perturbation=BPTF,27,0.39395169767110955,0.4936124888136821
T3,chen,perturbation=BPTF,28,0.3217327289276056,0.44930006143015094
T3,chen,perturbation=BPTF,29,0.3700489030557637,0.46967986312626997
T3,chen,perturbation=BPTF,30,0.27439686205430003,0.4113069962568889
T3,chen,perturbation=BPTF,31,0.3217548381707703,0.46782818838912305
T3,chen,perturbation=BPTF,32,0.32295869027511465,0.4435314876288667
T3,chen,perturbation=BPTF,33,0.2590324798357274,0.3812296293816796
T3,chen,perturbation=BPTF,34,0.33118537304538964,0.3845907395727061
T3,chen,perturbation=BPTF,35,0.37246298910290526,0.44348186451805577
T3,chen,perturbation=BPTF,36,0.3158920757999874,0.44348457853421563
T3,chen,perturbation=BPTF,37,0.38293692032891047,0.4260141326415353
T3,chen,perturbation=BPTF,38,0.36766247600740043,0.47393836609473894
T3,chen,perturbation=BPTF,39,0.3452248510288803,0.47506735917223025
T3,chen,perturbation=BPTF,40,0.32383711176356866,0.4297506232849088
T3,chen,perturbation=BPTF,41,0.3845814143749363,0.4423296933919242
T3,chen,perturbation=BPTF,42,0.31913321396419125,0.4481834974791975
T3,chen,perturbation=BPTF,43,0.3764626985711662,0.4656208575302109
T3,chen,perturbation=BPTF,44,0.3534271491749462,0.4572348534155699
T3,chen,perturbation=BPTF,45,0.3783369303604306,0.47856058719734385
T3,chen,perturbation=BPTF,46,0.246365693145694,0.35375307355101565
T3,chen,perturbation=BPTF,47,0.3484499013149564,0.4535397418119213
