task_key,unit,stratum,n_treated,n_controls,n_scored_genes,partitions,seed,bundle_path,independent_control_r,shared_control_r,status
T4,C4_modality_lo_ko_25,perturbation=STAT3,60,60,1943,100,3279894590,predictions/C4/C4_Axis2__cell-mean__C4_modality_lo_ko_25.npz,0.07855539575925176,0.37629659329859033,estimable
T4,C4_modality_lo_ko_25,perturbation=BZW2,60,60,1943,100,3279894590,predictions/C4/C4_Axis2__cell-mean__C4_modality_lo_ko_25.npz,-0.004031440593598266,0.34135327679304256,estimable
T4,C4_modality_lo_ko_25,perturbation=NMRK1,60,60,1943,100,3279894590,predictions/C4/C4_Axis2__cell-mean__C4_modality_lo_ko_25.npz,-0.01837598904391089,0.30463078435815005,estimable
T4,C4_modality_lo_ko_25,perturbation=GAA,60,60,1943,100,3279894590,predictions/C4/C4_Axis2__cell-mean__C4_modality_lo_ko_25.npz,0.033944876799988456,0.34493668941035915,estimable
T4,C4_modality_lo_ko_25,perturbation=PET100,60,60,1943,100,3279894590,predictions/C4/C4_Axis2__cell-mean__C4_modality_lo_ko_25.npz,0.01979572422599098,0.3411642474015418,estimable
T4,C4_modality_lo_ko_25,perturbation=SGK1,60,60,1943,100,3279894590,predictions/C4/C4_Axis2__cell-mean__C4_modality_lo_ko_25.npz,0.04508352822427162,0.3482214499442785,estimable
T4,C4_modality_lo_ko_25,perturbation=HLA-A,60,60,1943,100,3279894590,predictions/C4/C4_Axis2__cell-mean__C4_modality_lo_ko_25.npz,0.003326987664776418,0.33190593123564954,estimable
T4,C4_modality_lo_ko_25,perturbation=LAMP2,60,60,1943,100,3279894590,predictions/C4/C4_Axis2__cell-mean__C4_modality_lo_ko_25.npz,0.0001370270552281378,0.3357330283494232,estimable
T4,C4_modality_lo_ko_25,perturbation=EIF3K,60,60,1943,100,3279894590,predictions/C4/C4_Axis2__cell-mean__C4_modality_lo_ko_25.npz,0.06449990427096733,0.3846049728855487,estimable
T4,C4_modality_lo_ko_25,perturbation=A2M,60,60,1943,100,3279894590,predictions/C4/C4_Axis2__cell-mean__C4_modality_lo_ko_25.npz,0.04140503671274136,0.37455525262682043,estimable
T4,C4_modality_lo_ko_25,perturbation=JPT1,60,60,1943,100,3279894590,predictions/C4/C4_Axis2__cell-mean__C4_modality_lo_ko_25.npz,0.07328738579690879,0.3792112438456014,estimable
T4,C4_modality_lo_ko_25,perturbation=MC1R,60,60,1943,100,3279894590,predictions/C4/C4_Axis2__cell-mean__C4_modality_lo_ko_25.npz,0.023015782846531784,0.34932758479990683,estimable
T4,C4_modality_lo_ko_25,perturbation=SAT1,60,60,1943,100,3279894590,predictions/C4/C4_Axis2__cell-mean__C4_modality_lo_ko_25.npz,0.06312158272759624,0.3705639847530916,estimable
T4,C4_modality_lo_ko_25,perturbation=TSC22D3,60,60,1943,100,3279894590,predictions/C4/C4_Axis2__cell-mean__C4_modality_lo_ko_25.npz,0.04145875372702688,0.33768495637383483,estimable
