task_key,unit,stratum,n_treated,n_controls,n_scored_genes,partitions,seed,bundle_path,independent_control_r,shared_control_r,status
T1,B,donor_id=1256,80,550,2000,100,3989580599,predictions/C1/C1_LOCT__cell-mean__C1_loct_B.npz,0.8220721859859799,0.841946120845725,estimable
T1,B,donor_id=1488,80,550,2000,100,3989580599,predictions/C1/C1_LOCT__cell-mean__C1_loct_B.npz,0.8321078234234472,0.8510814482537321,estimable
T1,B,donor_id=1015,80,550,2000,100,3989580599,predictions/C1/C1_LOCT__cell-mean__C1_loct_B.npz,0.8497214820836178,0.8672780776716752,estimable
T1,B,donor_id=101,80,550,2000,100,3989580599,predictions/C1/C1_LOCT__cell-mean__C1_loct_B.npz,0.8353818315791506,0.8538020737867384,estimable
T1,B,donor_id=1039,39,550,2000,100,3989580599,predictions/C1/C1_LOCT__cell-mean__C1_loct_B.npz,0.7071649307307072,0.7235000974567478,estimable
T1,B,donor_id=1244,80,550,2000,100,3989580599,predictions/C1/C1_LOCT__cell-mean__C1_loct_B.npz,0.811898275508252,0.8328091942877749,estimable
T1,B,donor_id=1016,80,550,2000,100,3989580599,predictions/C1/C1_LOCT__cell-mean__C1_loct_B.npz,0.8404348863627367,0.859303558616839,estimable
T1,B,donor_id=107,54,550,2000,100,3989580599,predictions/C1/C1_LOCT__cell-mean__C1_loct_B.npz,0.768300149260019,0.7867392856442313,estimable
T1,CD4T,donor_id=1256,80,636,2000,100,1836000099,predictions/C1/C1_LOCT__cell-mean__C1_loct_CD4T.npz,0.7652953903843093,0.7878230800674807,estimable
T1,CD4T,donor_id=101,80,636,2000,100,1836000099,predictions/C1/C1_LOCT__cell-mean__C1_loct_CD4T.npz,0.7253558546704041,0.7518851098628069,estimable
T1,CD4T,donor_id=1039,78,636,2000,100,1836000099,predictions/C1/C1_LOCT__cell-mean__C1_loct_CD4T.npz,0.7598686258968915,0.7819870727347719,estimable
T1,CD4T,donor_id=1016,80,636,2000,100,1836000099,predictions/C1/C1_LOCT__cell-mean__C1_loct_CD4T.npz,0.7344647565621719,0.7575785220903211,estimable
T1,CD4T,donor_id=1015,80,636,2000,100,1836000099,predictions/C1/C1_LOCT__cell-mean__C1_loct_CD4T.npz,0.7767591523186652,0.797533005734364,estimable
T1,CD4T,donor_id=1244,80,636,2000,100,1836000099,predictions/C1/C1_LOCT__cell-mean__C1_loct_CD4T.npz,0.7573544346959582,0.7821752411488095,estimable
T1,CD4T,donor_id=107,80,636,2000,100,1836000099,predictions/C1/C1_LOCT__cell-mean__C1_loct_CD4T.npz,0.734382221230248,0.7600672359688666,estimable
T1,CD4T,donor_id=1488,80,636,2000,100,1836000099,predictions/C1/C1_LOCT__cell-mean__C1_loct_CD4T.npz,0.7795173646576863,0.8022898927706139,estimable
T1,CD8T,donor_id=101,80,476,2000,100,3217820527,predictions/C1/C1_LOCT__cell-mean__C1_loct_CD8T.npz,0.6956903580340813,0.7340931878960651,estimable
T1,CD8T,donor_id=1015,80,476,2000,100,3217820527,predictions/C1/C1_LOCT__cell-mean__C1_loct_CD8T.npz,0.7441214367521833,0.7764123809986101,estimable
T1,CD8T,donor_id=1256,80,476,2000,100,3217820527,predictions/C1/C1_LOCT__cell-mean__C1_loct_CD8T.npz,0.761034814388169,0.7907143736840041,estimable
T1,CD8T,donor_id=1244,32,476,2000,100,3217820527,predictions/C1/C1_LOCT__cell-mean__C1_loct_CD8T.npz,0.5130305842496004,0.5377889408335866,estimable
T1,CD8T,donor_id=1039,29,476,2000,100,3217820527,predictions/C1/C1_LOCT__cell-mean__C1_loct_CD8T.npz,0.5362729054211026,0.556097795829716,estimable
T1,CD8T,donor_id=1016,80,476,2000,100,3217820527,predictions/C1/C1_LOCT__cell-mean__C1_loct_CD8T.npz,0.7659560318102682,0.7963191962068542,estimable
T1,CD8T,donor_id=1488,43,476,2000,100,3217820527,predictions/C1/C1_LOCT__cell-mean__C1_loct_CD8T.npz,0.630463116581665,0.6556602400643144,estimable
T1,CD8T,donor_id=107,15,476,2000,100,3217820527,predictions/C1/C1_LOCT__cell-mean__C1_loct_CD8T.npz,0.29873345170840887,0.31122171773862284,estimable
T1,DC,donor_id=1488,54,203,2000,100,63249402,predictions/C1/C1_LOCT__cell-mean__C1_loct_DC.npz,0.8683598171243051,0.893523049192045,estimable
T1,DC,donor_id=101,34,203,2000,100,63249402,predictions/C1/C1_LOCT__cell-mean__C1_loct_DC.npz,0.7844413883847592,0.8100673637035898,estimable
T1,DC,donor_id=1039,17,203,2000,100,63249402,predictions/C1/C1_LOCT__cell-mean__C1_loct_DC.npz,0.6932380350865458,0.7091275512328851,estimable
T1,DC,donor_id=1256,32,203,2000,100,63249402,predictions/C1/C1_LOCT__cell-mean__C1_loct_DC.npz,0.7752383766307598,0.7980779095804519,estimable
T1,DC,donor_id=107,14,203,2000,100,63249402,predictions/C1/C1_LOCT__cell-mean__C1_loct_DC.npz,0.6806362101602899,0.6974146027060182,estimable
T1,DC,donor_id=1015,30,203,2000,100,63249402,predictions/C1/C1_LOCT__cell-mean__C1_loct_DC.npz,0.8211161800478223,0.842815140056619,estimable
T1,DC,donor_id=1244,33,203,2000,100,63249402,predictions/C1/C1_LOCT__cell-mean__C1_loct_DC.npz,0.8431582105813717,0.8633761088228448,estimable
T1,DC,donor_id=1016,15,203,2000,100,63249402,predictions/C1/C1_LOCT__cell-mean__C1_loct_DC.npz,0.6412914744823844,0.6581983468901007,estimable
T1,Mk,donor_id=1016,10,95,2000,100,2902714165,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mk.npz,0.16922776516917368,0.20889239147060276,estimable
T1,Mk,donor_id=1488,29,95,2000,100,2902714165,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mk.npz,0.44337790861707355,0.5395816513205928,estimable
T1,Mk,donor_id=1015,20,95,2000,100,2902714165,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mk.npz,0.4946753481280334,0.5592892630173417,estimable
T1,Mk,donor_id=107,4,95,2000,100,2902714165,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mk.npz,,,fewer than six treated cells
T1,Mk,donor_id=1039,11,95,2000,100,2902714165,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mk.npz,0.1568809106622933,0.19826351057850072,estimable
T1,Mk,donor_id=1256,17,95,2000,100,2902714165,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mk.npz,0.4563708969805026,0.5189789479126867,estimable
T1,Mk,donor_id=1244,13,95,2000,100,2902714165,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mk.npz,0.1727186585155779,0.22381873055712226,estimable
T1,Mk,donor_id=101,9,95,2000,100,2902714165,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mk.npz,0.19035221851298365,0.22716675934779815,estimable
T1,Mono_CD14,donor_id=101,80,627,2000,100,234041693,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_CD14.npz,0.9462967785045991,0.9526589442031388,estimable
T1,Mono_CD14,donor_id=1244,80,627,2000,100,234041693,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_CD14.npz,0.9577376981762409,0.9631717756756956,estimable
T1,Mono_CD14,donor_id=1488,80,627,2000,100,234041693,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_CD14.npz,0.9500024862418043,0.9559433985808015,estimable
T1,Mono_CD14,donor_id=1015,80,627,2000,100,234041693,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_CD14.npz,0.954976398039465,0.9607395769666153,estimable
T1,Mono_CD14,donor_id=1256,80,627,2000,100,234041693,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_CD14.npz,0.9511982570056499,0.9574380710416383,estimable
T1,Mono_CD14,donor_id=107,80,627,2000,100,234041693,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_CD14.npz,0.9528829638414348,0.9585345090425182,estimable
T1,Mono_CD14,donor_id=1016,80,627,2000,100,234041693,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_CD14.npz,0.93782419191051,0.9446996178973243,estimable
T1,Mono_CD14,donor_id=1039,75,627,2000,100,234041693,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_CD14.npz,0.9495249359464044,0.9555325143469627,estimable
T1,Mono_FCGR3A,donor_id=1488,80,508,2000,100,4054131983,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_FCGR3A.npz,0.9188402962905619,0.9294209219116921,estimable
T1,Mono_FCGR3A,donor_id=101,80,508,2000,100,4054131983,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_FCGR3A.npz,0.914048675239779,0.9256949958234028,estimable
T1,Mono_FCGR3A,donor_id=107,37,508,2000,100,4054131983,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_FCGR3A.npz,0.8375571101568441,0.8473530446271273,estimable
T1,Mono_FCGR3A,donor_id=1256,80,508,2000,100,4054131983,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_FCGR3A.npz,0.9191180322985018,0.9296963780307429,estimable
T1,Mono_FCGR3A,donor_id=1016,80,508,2000,100,4054131983,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_FCGR3A.npz,0.9153232753257191,0.9263113936643295,estimable
T1,Mono_FCGR3A,donor_id=1015,80,508,2000,100,4054131983,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_FCGR3A.npz,0.9295512366339151,0.9390250443325838,estimable
T1,Mono_FCGR3A,donor_id=1039,43,508,2000,100,4054131983,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_FCGR3A.npz,0.8845321159715092,0.893771342228399,estimable
T1,Mono_FCGR3A,donor_id=1244,35,508,2000,100,4054131983,predictions/C1/C1_LOCT__cell-mean__C1_loct_Mono_FCGR3A.npz,0.8667129518984296,0.8754873629675268,estimable
T1,NK,donor_id=101,80,528,2000,100,3068698917,predictions/C1/C1_LOCT__cell-mean__C1_loct_NK.npz,0.7545024882466705,0.7824830840849892,estimable
T1,NK,donor_id=1488,80,528,2000,100,3068698917,predictions/C1/C1_LOCT__cell-mean__C1_loct_NK.npz,0.7876153498998597,0.8119750250881818,estimable
T1,NK,donor_id=107,46,528,2000,100,3068698917,predictions/C1/C1_LOCT__cell-mean__C1_loct_NK.npz,0.6997257989219503,0.7196475583986373,estimable
