task_key,unit,stratum,n_treated,n_controls,n_scored_genes,partitions,seed,bundle_path,independent_control_r,shared_control_r,status
T5c,B,perturbation=Atorvastatin,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.22897308891669182,0.36099227228795827,estimable
T5c,B,perturbation=5-(9-Isopropyl-8-methyl-2-morpholino-9H-purin-6-yl)pyrimidin-2-amine,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.6539267666260845,0.7284455216736597,estimable
T5c,B,perturbation=Topotecan,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.2745435126480863,0.4006108895375181,estimable
T5c,B,perturbation=BMS-265246,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.42454368913867024,0.531768950866633,estimable
T5c,B,perturbation=AMD-070 (hydrochloride),120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.21487820788263984,0.3424402277351182,estimable
T5c,B,perturbation=AT13387,114,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.7970923426149831,0.8430758290036319,estimable
T5c,B,perturbation=Desloratadine,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.22365285490081657,0.35816760902423267,estimable
T5c,B,perturbation=Ganetespib (STA-9090),120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.8166264082053207,0.859343426898747,estimable
T5c,B,perturbation=O-Demethylated Adapalene,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.3578040545246784,0.4752590165877579,estimable
T5c,B,perturbation=BAY 87-2243,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.35774559960660973,0.47609319634292535,estimable
T5c,B,perturbation=Ruxolitinib,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.5709908631960735,0.660590115774313,estimable
T5c,B,perturbation=Sgc-cbp30,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.17322769064332227,0.3121569378701478,estimable
T5c,B,perturbation=PF-04691502,117,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.5731074203573361,0.6570296405470364,estimable
T5c,B,perturbation=Dactolisib,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.7014658303274188,0.767584774055838,estimable
T5c,B,perturbation=Alogliptin,118,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.24704108261310448,0.37537198562897367,estimable
T5c,B,perturbation=Clomipramine,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.26702564119144656,0.3955538767413405,estimable
T5c,B,perturbation=Protriptyline,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.2317377109493962,0.3654813670066715,estimable
T5c,B,perturbation=Phenylbutazone,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.2030306003916378,0.3356133230324251,estimable
T5c,B,perturbation=Pomalidomide,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.4807403395165447,0.5861369007463836,estimable
T5c,B,perturbation=FK 866,112,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.33525388810442686,0.44574307044154937,estimable
T5c,B,perturbation=Perhexiline,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.5559116107688833,0.6441670460146318,estimable
T5c,B,perturbation=BMS-536924,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.5914599630142086,0.6769489762138029,estimable
T5c,B,perturbation=Penfluridol,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.2737982746862546,0.4021143294798353,estimable
T5c,B,perturbation=Sunitinib,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.30977874206638484,0.42929701292979106,estimable
T5c,B,perturbation=I-BET151,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.5597361515347008,0.6517262838878701,estimable
T5c,B,perturbation=K-02288,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.20497060306266582,0.33838266246065407,estimable
T5c,B,perturbation=Dovitinib,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.34764763879679755,0.4688975183734672,estimable
T5c,B,perturbation=Chlorpheniramine,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.20246793930982354,0.3332042391599168,estimable
T5c,B,perturbation=UNII-BXU45ZH6LI,91,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.6586127556570535,0.7197048899869434,estimable
T5c,B,perturbation=IKK Inhibitor VII,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.554141060816509,0.6472160449424265,estimable
T5c,B,perturbation=Quizartinib,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.24367255825345335,0.3756710700533861,estimable
T5c,B,perturbation=Tivozanib,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.3199478643387643,0.4382123328075187,estimable
T5c,B,perturbation=Foretinib,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.4646053911323557,0.5695511773692905,estimable
T5c,B,perturbation=BMS-777607,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.25095246101028357,0.3762093871660085,estimable
T5c,B,perturbation=AVL-292,120,360,2000,100,272965787,predictions/C5/C1_LOCT__cell-mean__C5_loct_B.npz,0.4400918824819232,0.5484199184394243,estimable
