task_key,unit,stratum,partition,independent_control_r,shared_control_r
T5c,B,perturbation=Atorvastatin,0,0.24071643814955887,0.3607912621726252
T5c,B,perturbation=Atorvastatin,1,0.2429884806655498,0.3742350130382158
T5c,B,perturbation=Atorvastatin,2,0.21274781358343547,0.3343636915068935
T5c,B,perturbation=Atorvastatin,3,0.2124083727373584,0.3432188758459739
T5c,B,perturbation=Atorvastatin,4,0.22937414830479932,0.36304256736777524
T5c,B,perturbation=Atorvastatin,5,0.23462432769429295,0.33437941619743966
T5c,B,perturbation=Atorvastatin,6,0.24086500535577163,0.3756900907430769
T5c,B,perturbation=Atorvastatin,7,0.22177041907153972,0.3619481330867798
T5c,B,perturbation=Atorvastatin,8,0.21686984346238167,0.35281665655467326
T5c,B,perturbation=Atorvastatin,9,0.2107546580091433,0.34280205121748175
T5c,B,perturbation=Atorvastatin,10,0.21149249753568763,0.33327413964750735
T5c,B,perturbation=Atorvastatin,11,0.2289008150408172,0.353030029507084
T5c,B,perturbation=Atorvastatin,12,0.23665922247092713,0.36075906359102433
T5c,B,perturbation=Atorvastatin,13,0.24029921164430038,0.3805586635362767
T5c,B,perturbation=Atorvastatin,14,0.22302356336302115,0.36192323301287077
T5c,B,perturbation=Atorvastatin,15,0.22683365767718905,0.36115637002370155
T5c,B,perturbation=Atorvastatin,16,0.21705125264224984,0.36926551705267907
T5c,B,perturbation=Atorvastatin,17,0.2603058107073427,0.3914363030137767
T5c,B,perturbation=Atorvastatin,18,0.233433802677511,0.3526800567181502
T5c,B,perturbation=Atorvastatin,19,0.21548186062738242,0.3616193252221501
T5c,B,perturbation=Atorvastatin,20,0.23691519499638422,0.36053774735261573
T5c,B,perturbation=Atorvastatin,21,0.21335307455477745,0.35033551621365094
T5c,B,perturbation=Atorvastatin,22,0.18070944743018533,0.33427359271769697
T5c,B,perturbation=Atorvastatin,23,0.22704958111458462,0.3520668707476084
T5c,B,perturbation=Atorvastatin,24,0.23334612642054392,0.3686351026525029
T5c,B,perturbation=Atorvastatin,25,0.23726000726453253,0.38586413846382944
T5c,B,perturbation=Atorvastatin,26,0.23501011402718455,0.3620434906917031
T5c,B,perturbation=Atorvastatin,27,0.25093789082537515,0.37942068104558624
T5c,B,perturbation=Atorvastatin,28,0.22432852079104315,0.35615695030910133
T5c,B,perturbation=Atorvastatin,29,0.23428724750662264,0.3722119440874532
T5c,B,perturbation=Atorvastatin,30,0.21510155447953447,0.351752374449696
T5c,B,perturbation=Atorvastatin,31,0.24890972360042174,0.38187862531313643
T5c,B,perturbation=Atorvastatin,32,0.22286250967214438,0.35565810285761723
T5c,B,perturbation=Atorvastatin,33,0.19720299847577724,0.31753189616971544
T5c,B,perturbation=Atorvastatin,34,0.21658521205224074,0.35742170425109765
T5c,B,perturbation=Atorvastatin,35,0.25193482525487015,0.37235239879256804
T5c,B,perturbation=Atorvastatin,36,0.1996607334408312,0.3494514435940852
T5c,B,perturbation=Atorvastatin,37,0.2553400426057792,0.3734734932560377
T5c,B,perturbation=Atorvastatin,38,0.25815845710137647,0.38355452384245386
T5c,B,perturbation=Atorvastatin,39,0.19887261963191638,0.3529684723124966
T5c,B,perturbation=Atorvastatin,40,0.269909986844101,0.37848103097605296
T5c,B,perturbation=Atorvastatin,41,0.19966039631841254,0.3481369511877609
T5c,B,perturbation=Atorvastatin,42,0.21911342599883452,0.37140442096004467
T5c,B,perturbation=Atorvastatin,43,0.2178238981230167,0.3560496980812893
T5c,B,perturbation=Atorvastatin,44,0.2727993132920261,0.3881474063925898
T5c,B,perturbation=Atorvastatin,45,0.21239606792318813,0.3616238312158396
