task_key,unit,stratum,partition,independent_control_r,shared_control_r
T3,schmidt,perturbation=LHX6,0,0.39570533666940044,0.6451165598964278
T3,schmidt,perturbation=LHX6,1,0.3172963006036184,0.653134802965766
T3,schmidt,perturbation=LHX6,2,0.31061074946492345,0.5393235176510559
T3,schmidt,perturbation=LHX6,3,0.2579456062557548,0.6134975695321906
T3,schmidt,perturbation=LHX6,4,0.31546947094700617,0.5853273668396906
T3,schmidt,perturbation=LHX6,5,0.2797212545265538,0.6195990272942913
T3,schmidt,perturbation=LHX6,6,0.33694642584984397,0.5996153183460025
T3,schmidt,perturbation=LHX6,7,0.3589926085473912,0.6304918646518656
T3,schmidt,perturbation=LHX6,8,0.34648657583055603,0.6308094322687032
T3,schmidt,perturbation=LHX6,9,0.23587900892102662,0.5265899002469795
T3,schmidt,perturbation=LHX6,10,0.33122652814143855,0.6106683521365265
T3,schmidt,perturbation=LHX6,11,0.41991209430826315,0.6405269704075928
T3,schmidt,perturbation=LHX6,12,0.36271795375725685,0.6121588674439229
T3,schmidt,perturbation=LHX6,13,0.22642030090163706,0.5821560152174106
T3,schmidt,perturbation=LHX6,14,0.3723857687097398,0.6390816777814422
T3,schmidt,perturbation=LHX6,15,0.25187084283230793,0.6048025622624743
T3,schmidt,perturbation=LHX6,16,0.3584238898022606,0.633090384084249
T3,schmidt,perturbation=LHX6,17,0.311363975062193,0.6272581892555047
T3,schmidt,perturbation=LHX6,18,0.33106821852768853,0.612478815918223
T3,schmidt,perturbation=LHX6,19,0.23566710453579556,0.5421518899044907
T3,schmidt,perturbation=LHX6,20,0.33165350134832366,0.6435889837983391
T3,schmidt,perturbation=LHX6,21,0.348568624823581,0.6002988924440323
T3,schmidt,perturbation=LHX6,22,0.23190108499363787,0.49359786482867946
T3,schmidt,perturbation=LHX6,23,0.2859192833237476,0.6066800822429719
T3,schmidt,perturbation=LHX6,24,0.3525818372693694,0.599652712366368
T3,schmidt,perturbation=LHX6,25,0.3437267115584653,0.6015547963498002
T3,schmidt,perturbation=LHX6,26,0.32286492915547815,0.5847395113913788
T3,schmidt,perturbation=LHX6,27,0.3854396553063023,0.6380586782216475
T3,schmidt,perturbation=LHX6,28,0.36916615253781093,0.6417923399174433
T3,schmidt,perturbation=LHX6,29,0.3582024714265114,0.6421742897260881
T3,schmidt,perturbation=LHX6,30,0.36804703623302504,0.6438486556070374
T3,schmidt,perturbation=LHX6,31,0.26605150307995784,0.62118170142148
T3,schmidt,perturbation=LHX6,32,0.2756534365974136,0.6018067709422084
T3,schmidt,perturbation=LHX6,33,0.38022144220480586,0.6231307216779257
T3,schmidt,perturbation=LHX6,34,0.37206413922232856,0.6345976490614864
T3,schmidt,perturbation=LHX6,35,0.35946382108163805,0.5979673427066204
T3,schmidt,perturbation=LHX6,36,0.3579687676533993,0.6535210723221512
T3,schmidt,perturbation=LHX6,37,0.3445725281632267,0.5643559098598238
T3,schmidt,perturbation=LHX6,38,0.3938502570761012,0.5960361361779848
T3,schmidt,perturbation=LHX6,39,0.1990144426217876,0.5937090591089563
