task_key,unit,stratum,partition,independent_control_r,shared_control_r
T3,shifrut,perturbation=STAT6,0,-0.019390660235365658,0.07059503864394683
T3,shifrut,perturbation=STAT6,1,0.00891758132234522,0.09396780681410066
T3,shifrut,perturbation=STAT6,2,-0.021924538098262173,0.10898656564215414
T3,shifrut,perturbation=STAT6,3,-0.07062773105194083,0.004923283921402681
T3,shifrut,perturbation=STAT6,4,-0.007598397809342427,0.0950065825538502
T3,shifrut,perturbation=STAT6,5,0.009893943127773494,0.0790390622475022
T3,shifrut,perturbation=STAT6,6,0.02430630702711596,0.08948768137619278
T3,shifrut,perturbation=STAT6,7,-0.015815593548351947,0.06325641199188939
T3,shifrut,perturbation=STAT6,8,0.04359762646763705,0.08338630015484538
T3,shifrut,perturbation=STAT6,9,-0.15512177372520397,-0.1316954857527056
T3,shifrut,perturbation=STAT6,10,0.02627228818208796,0.09965996461756393
T3,shifrut,perturbation=STAT6,11,0.0420440005968026,0.07943831391281508
T3,shifrut,perturbation=STAT6,12,0.010862715883559417,0.09618130457494987
T3,shifrut,perturbation=STAT6,13,-0.008447443923911313,0.06032481942003233
T3,shifrut,perturbation=STAT6,14,0.0037052719296349116,0.05545889201649818
T3,shifrut,perturbation=STAT6,15,0.01055857040222413,0.08600790690166822
T3,shifrut,perturbation=STAT6,16,0.012113730681540967,0.0881848123448727
T3,shifrut,perturbation=STAT6,17,0.006534222207762895,0.0911742228814258
T3,shifrut,perturbation=STAT6,18,0.022264358512892206,0.07095303936984321
T3,shifrut,perturbation=STAT6,19,0.0026462446115346383,0.05439801462826847
T3,shifrut,perturbation=STAT6,20,-0.008612197592293699,0.05596471387526704
T3,shifrut,perturbation=STAT6,21,0.03750955142924454,0.12927584481476725
T3,shifrut,perturbation=STAT6,22,-0.09260124660634993,0.046489074287128514
T3,shifrut,perturbation=STAT6,23,0.007690106538869533,0.0834302676834896
T3,shifrut,perturbation=STAT6,24,-0.027631071739949293,0.019348564674776903
T3,shifrut,perturbation=STAT6,25,0.0009358766527712285,0.07425116357652606
T3,shifrut,perturbation=STAT6,26,0.03957152907369145,0.11646962024745999
T3,shifrut,perturbation=STAT6,27,0.006338706692484572,0.06841671609676515
T3,shifrut,perturbation=STAT6,28,0.06936159724761357,0.144137108176761
T3,shifrut,perturbation=STAT6,29,-0.022883418448025338,0.0453707573022254
T3,shifrut,perturbation=STAT6,30,-0.07920118724311914,0.06743809196860273
T3,shifrut,perturbation=STAT6,31,0.017432218670716912,0.08144123883375766
T3,shifrut,perturbation=STAT6,32,-0.004703323369134677,0.0351816759471687
T3,shifrut,perturbation=STAT6,33,0.026179310787603167,0.0983021547469876
T3,shifrut,perturbation=STAT6,34,0.04724863543361978,0.12858219325213982
