task_key,unit,stratum,n_treated,n_controls,n_scored_genes,partitions,seed,bundle_path,independent_control_r,shared_control_r,status
T2,D348,cell_type_coarse=CD4_Naive,300,600,298,100,3549284065,predictions/C2/C2_LODO__cell-mean__C2_lodo_D348.npz,0.5256702208771322,0.6595025205115997,estimable
T2,D348,cell_type_coarse=CD4_Memory,300,600,298,100,3549284065,predictions/C2/C2_LODO__cell-mean__C2_lodo_D348.npz,0.5777506997827824,0.6712879840005569,estimable
T2,D349,cell_type_coarse=CD4_Naive,300,600,305,100,1181324942,predictions/C2/C2_LODO__cell-mean__C2_lodo_D349.npz,0.5214242138593975,0.6753320652984786,estimable
T2,D349,cell_type_coarse=CD4_Memory,300,600,305,100,1181324942,predictions/C2/C2_LODO__cell-mean__C2_lodo_D349.npz,0.657864243532602,0.7428004857827999,estimable
T2,D350,cell_type_coarse=CD4_Naive,255,578,298,100,693230531,predictions/C2/C2_LODO__cell-mean__C2_lodo_D350.npz,0.5546397645256216,0.6790264173580784,estimable
T2,D350,cell_type_coarse=CD4_Memory,300,578,298,100,693230531,predictions/C2/C2_LODO__cell-mean__C2_lodo_D350.npz,0.5365665184859423,0.6324583045648491,estimable
T2,D351,cell_type_coarse=CD4_Naive,300,600,300,100,339595385,predictions/C2/C2_LODO__cell-mean__C2_lodo_D351.npz,0.4766643387115837,0.6292072107099722,estimable
T2,D351,cell_type_coarse=CD4_Memory,300,600,300,100,339595385,predictions/C2/C2_LODO__cell-mean__C2_lodo_D351.npz,0.5665560847770681,0.6729942361440873,estimable
T2,D352,cell_type_coarse=CD4_Naive,300,600,304,100,1762167217,predictions/C2/C2_LODO__cell-mean__C2_lodo_D352.npz,0.644342300912527,0.7470215821743197,estimable
T2,D352,cell_type_coarse=CD4_Memory,300,600,304,100,1762167217,predictions/C2/C2_LODO__cell-mean__C2_lodo_D352.npz,0.6490166544203868,0.7295472721278499,estimable
T2,D353,cell_type_coarse=CD4_Naive,283,600,297,100,2885977167,predictions/C2/C2_LODO__cell-mean__C2_lodo_D353.npz,0.5610894318242375,0.6917163767183756,estimable
T2,D353,cell_type_coarse=CD4_Memory,300,600,297,100,2885977167,predictions/C2/C2_LODO__cell-mean__C2_lodo_D353.npz,0.6468102097000576,0.7285256002882551,estimable
T2,D354,cell_type_coarse=CD4_Naive,300,600,302,100,1219189613,predictions/C2/C2_LODO__cell-mean__C2_lodo_D354.npz,0.6098330614119858,0.7669810192531391,estimable
