task_key,unit,stratum,partition,independent_control_r,shared_control_r
T2,D348,cell_type_coarse=CD4_Naive,0,0.5385128997452032,0.6816150856768067
T2,D348,cell_type_coarse=CD4_Naive,1,0.4870342446031657,0.6328550336756562
T2,D348,cell_type_coarse=CD4_Naive,2,0.5119251190302273,0.64265976509679
T2,D348,cell_type_coarse=CD4_Naive,3,0.5061747324859097,0.6279266069562411
T2,D348,cell_type_coarse=CD4_Naive,4,0.46526970966062664,0.6714547698421289
T2,D348,cell_type_coarse=CD4_Naive,5,0.48636494643015954,0.6400894150784328
T2,D348,cell_type_coarse=CD4_Naive,6,0.5556900339248281,0.6905065671158495
T2,D348,cell_type_coarse=CD4_Naive,7,0.5128170660251192,0.6462418514113242
T2,D348,cell_type_coarse=CD4_Naive,8,0.5660137738682748,0.6947010774460662
T2,D348,cell_type_coarse=CD4_Naive,9,0.5541868806829967,0.6523000508814534
T2,D348,cell_type_coarse=CD4_Naive,10,0.5333072932391871,0.660659417929957
T2,D348,cell_type_coarse=CD4_Naive,11,0.4994247133270695,0.6292709800861819
T2,D348,cell_type_coarse=CD4_Naive,12,0.5374795847025626,0.6514981052376941
T2,D348,cell_type_coarse=CD4_Naive,13,0.5100555901541575,0.6219750511590229
T2,D348,cell_type_coarse=CD4_Naive,14,0.560018754667038,0.7133313429689725
T2,D348,cell_type_coarse=CD4_Naive,15,0.508202092829014,0.6551294976499326
T2,D348,cell_type_coarse=CD4_Naive,16,0.547214752739766,0.6728096647334001
T2,D348,cell_type_coarse=CD4_Naive,17,0.48242404451942517,0.6442273704663681
T2,D348,cell_type_coarse=CD4_Naive,18,0.46282574216417566,0.6140944160426721
T2,D348,cell_type_coarse=CD4_Naive,19,0.5447983561403832,0.7045334089851298
T2,D348,cell_type_coarse=CD4_Naive,20,0.48637765809290223,0.6555697757538802
T2,D348,cell_type_coarse=CD4_Naive,21,0.5257759238221275,0.6562901028764949
T2,D348,cell_type_coarse=CD4_Naive,22,0.5305348445732198,0.6504138364093257
T2,D348,cell_type_coarse=CD4_Naive,23,0.49808882883708977,0.621076176302017
T2,D348,cell_type_coarse=CD4_Naive,24,0.5755769012673155,0.6657832053401499
T2,D348,cell_type_coarse=CD4_Naive,25,0.5027421542009726,0.6391898491887793
T2,D348,cell_type_coarse=CD4_Naive,26,0.5174455876265941,0.6823651829036796
T2,D348,cell_type_coarse=CD4_Naive,27,0.6105771585453214,0.7026674933260065
T2,D348,cell_type_coarse=CD4_Naive,28,0.527782381103335,0.665105763912627
T2,D348,cell_type_coarse=CD4_Naive,29,0.5655700853236391,0.7163392404014259
T2,D348,cell_type_coarse=CD4_Naive,30,0.4858795971634196,0.6481322750278655
T2,D348,cell_type_coarse=CD4_Naive,31,0.49805695436502073,0.6668734177523085
T2,D348,cell_type_coarse=CD4_Naive,32,0.5268062503213479,0.6538630967001092
T2,D348,cell_type_coarse=CD4_Naive,33,0.482814256042496,0.6463680072564647
T2,D348,cell_type_coarse=CD4_Naive,34,0.5122632341002566,0.6179525030681221
T2,D348,cell_type_coarse=CD4_Naive,35,0.522428227911943,0.6536561918845869
T2,D348,cell_type_coarse=CD4_Naive,36,0.5430457566125789,0.6744974338244074
T2,D348,cell_type_coarse=CD4_Naive,37,0.5662917324756851,0.7086258568917954
T2,D348,cell_type_coarse=CD4_Naive,38,0.5429151059145017,0.6589490336499156
T2,D348,cell_type_coarse=CD4_Naive,39,0.525997131143484,0.6923218320779306
T2,D348,cell_type_coarse=CD4_Naive,40,0.540260581571862,0.6866671271789078
T2,D348,cell_type_coarse=CD4_Naive,41,0.6206008309313698,0.7294448503417935
T2,D348,cell_type_coarse=CD4_Naive,42,0.5678899754233486,0.6660989487269087
T2,D348,cell_type_coarse=CD4_Naive,43,0.5008176915604011,0.6644131540168293
T2,D348,cell_type_coarse=CD4_Naive,44,0.5519378120044047,0.6828348050723911
T2,D348,cell_type_coarse=CD4_Naive,45,0.5166859767736824,0.6334362494256942
T2,D348,cell_type_coarse=CD4_Naive,46,0.5167656830147503,0.6770732882169117
T2,D348,cell_type_coarse=CD4_Naive,47,0.5278192115695413,0.6663905610622085
T2,D348,cell_type_coarse=CD4_Naive,48,0.5641153068890972,0.6449592849838767
T2,D348,cell_type_coarse=CD4_Naive,49,0.5413658153816723,0.6653562593252839
T2,D348,cell_type_coarse=CD4_Naive,50,0.5093040687768224,0.6715441972642647
T2,D348,cell_type_coarse=CD4_Naive,51,0.5047966071741818,0.6222737038207324
T2,D348,cell_type_coarse=CD4_Naive,52,0.49845029403408303,0.62210410976736
T2,D348,cell_type_coarse=CD4_Naive,53,0.509293531285216,0.6260460813868167
T2,D348,cell_type_coarse=CD4_Naive,54,0.565106477218703,0.6690377091848086
T2,D348,cell_type_coarse=CD4_Naive,55,0.5129502163582547,0.6724780165582431
T2,D348,cell_type_coarse=CD4_Naive,56,0.498017282172629,0.7061876594201077
T2,D348,cell_type_coarse=CD4_Naive,57,0.543702895708673,0.6728987988773775
T2,D348,cell_type_coarse=CD4_Naive,58,0.5096507090541487,0.6610454160189312
T2,D348,cell_type_coarse=CD4_Naive,59,0.546256339058631,0.6513645927374281
T2,D348,cell_type_coarse=CD4_Naive,60,0.5297407398063474,0.6577170309361294
T2,D348,cell_type_coarse=CD4_Naive,61,0.48454810463168324,0.6238588413676213
T2,D348,cell_type_coarse=CD4_Naive,62,0.5136096200404415,0.6554637871220221
T2,D348,cell_type_coarse=CD4_Naive,63,0.5927216854112968,0.6522088749155129
T2,D348,cell_type_coarse=CD4_Naive,64,0.5041327125826758,0.6566349994173688
T2,D348,cell_type_coarse=CD4_Naive,65,0.49695602078993145,0.6370823887990493
T2,D348,cell_type_coarse=CD4_Naive,66,0.5086709221372933,0.6349124146494602
T2,D348,cell_type_coarse=CD4_Naive,67,0.52940626726436,0.6296818318937979
T2,D348,cell_type_coarse=CD4_Naive,68,0.5348763748805803,0.6657573141798601
T2,D348,cell_type_coarse=CD4_Naive,69,0.519928470862973,0.6649330150656116
T2,D348,cell_type_coarse=CD4_Naive,70,0.5689327348467161,0.679426852680417
T2,D348,cell_type_coarse=CD4_Naive,71,0.5005266499975358,0.695648663035094
T2,D348,cell_type_coarse=CD4_Naive,72,0.528770661870908,0.6614537996004501
T2,D348,cell_type_coarse=CD4_Naive,73,0.5483762652292783,0.6263774082185088
T2,D348,cell_type_coarse=CD4_Naive,74,0.5478651210145524,0.6847087244507505
T2,D348,cell_type_coarse=CD4_Naive,75,0.4872001014615729,0.628317465994063
T2,D348,cell_type_coarse=CD4_Naive,76,0.5113465982105473,0.6094090324728734
T2,D348,cell_type_coarse=CD4_Naive,77,0.5338848147286849,0.662034481080242
T2,D348,cell_type_coarse=CD4_Naive,78,0.5230611625972139,0.6465853875244129
T2,D348,cell_type_coarse=CD4_Naive,79,0.5443963623498412,0.6440521116085381
T2,D348,cell_type_coarse=CD4_Naive,80,0.5299153150698159,0.6830154687881389
T2,D348,cell_type_coarse=CD4_Naive,81,0.46071842053459494,0.5898047420062109
T2,D348,cell_type_coarse=CD4_Naive,82,0.5254213155124466,0.6744604543466336
T2,D348,cell_type_coarse=CD4_Naive,83,0.5682139342681958,0.6829833720190737
T2,D348,cell_type_coarse=CD4_Naive,84,0.5273846712177859,0.6620729123368405
T2,D348,cell_type_coarse=CD4_Naive,85,0.5294525605687954,0.696771109698279
T2,D348,cell_type_coarse=CD4_Naive,86,0.5109060697335516,0.6383847492541453
T2,D348,cell_type_coarse=CD4_Naive,87,0.5467713067415412,0.6904254916296144
T2,D348,cell_type_coarse=CD4_Naive,88,0.54722012848855,0.6742419679732691
T2,D348,cell_type_coarse=CD4_Naive,89,0.5339305511476298,0.680404998849671
T2,D348,cell_type_coarse=CD4_Naive,90,0.5244626810800664,0.6313660471881748
T2,D348,cell_type_coarse=CD4_Naive,91,0.5838725431243481,0.719336835112072
T2,D348,cell_type_coarse=CD4_Naive,92,0.47192144346413367,0.6279919535994288
T2,D348,cell_type_coarse=CD4_Naive,93,0.533046317827301,0.6652789435782136
T2,D348,cell_type_coarse=CD4_Naive,94,0.4330613109169947,0.6020850650790202
T2,D348,cell_type_coarse=CD4_Naive,95,0.502338246883405,0.6142186014251334
T2,D348,cell_type_coarse=CD4_Naive,96,0.528547916856284,0.6679303708036037
T2,D348,cell_type_coarse=CD4_Naive,97,0.5548364050759198,0.6879049846634413
T2,D348,cell_type_coarse=CD4_Naive,98,0.5320697036830266,0.6377576863100063
T2,D348,cell_type_coarse=CD4_Naive,99,0.5514824484603992,0.691977305112373
T2,D348,cell_type_coarse=CD4_Memory,0,0.57146466654323,0.6771110758300668
T2,D348,cell_type_coarse=CD4_Memory,1,0.5720499989235525,0.6201413481397897
T2,D348,cell_type_coarse=CD4_Memory,2,0.5826478952084146,0.707645029634011
T2,D348,cell_type_coarse=CD4_Memory,3,0.5819970030328625,0.6345395932666379
T2,D348,cell_type_coarse=CD4_Memory,4,0.5660435997092053,0.6823443670344819
T2,D348,cell_type_coarse=CD4_Memory,5,0.5609164669585434,0.6487934182077658
