cluster,dataset,modality,split,baseline,family,action,headline_eligible,registry_task,pearson_delta,pearson_delta_ontarget,e_distance,aucell_program_corr,aucell::TCR_activation,aucell::IL2_STAT5,aucell::proliferation,aucell::effector_cytokine,aucell::Treg_exhaustion,ran
C3,chen,KO,C3_true_lo_gene_10,STATE,hybrid,run_headline,True,C3_LO_gene,0.10482236053794622,0.10485225518544515,7.53592935215535,0.10954882901001893,0.0696328921673813,0.0947982035087625,,,0.16421539135391297,True
C3,chen,KO,C3_true_lo_gene_25,STATE,hybrid,run_headline,True,C3_LO_gene,0.11550945421127048,0.11620183064145306,7.560398371889906,0.09391468422046467,-0.02944737216942673,-0.010125118461135665,,,0.3213165432919564,True
C3,chen,KO,C3_true_lo_gene_50,STATE,hybrid,run_headline,True,C3_LO_gene,0.10866196956359656,0.10798829897130663,7.547757123432415,0.011517677592538793,-0.04835814213982218,0.0811140924227908,,,0.00179708249464776,True
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_10,STATE,hybrid,run_headline,True,C3_LO_gene,0.18281010538339615,0.1828342229127884,7.615650253934348,,,,,,,True
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_25,STATE,hybrid,run_headline,True,C3_LO_gene,0.12295174536605676,0.12291513818005721,7.76939216919489,,,,,,,True
C3,mccutcheon_CRISPRa,CRISPRa,C3_true_lo_gene_50,STATE,hybrid,run_headline,True,C3_LO_gene,0.10795331591119368,0.10872071577856939,7.793851197887419,,,,,,,True
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_10,STATE,hybrid,run_headline,True,C3_LO_gene,0.0546606220304966,0.0546876210719347,7.639239662697692,,,,,,,True
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_25,STATE,hybrid,run_headline,True,C3_LO_gene,0.028818906052038074,0.02876584503489236,8.214425030834468,,,,,,,True
C3,mccutcheon_CRISPRi,CRISPRi,C3_true_lo_gene_50,STATE,hybrid,run_headline,True,C3_LO_gene,0.04490239029595008,0.04421055949448297,7.874549637404041,,,,,,,True
C3,schmidt,CRISPRa,C3_true_lo_gene_10,STATE,hybrid,run_headline,True,C3_LO_gene,0.30788409816367285,0.2816788667280759,10.153263192275121,,,,,,,True
C3,schmidt,CRISPRa,C3_true_lo_gene_25,STATE,hybrid,run_headline,True,C3_LO_gene,0.2866997833415452,0.2672692683214943,10.069518165827743,,,,,,,True
C3,schmidt,CRISPRa,C3_true_lo_gene_50,STATE,hybrid,run_headline,True,C3_LO_gene,0.42042498848685583,0.3959149587705421,9.808657008187042,,,,,,,True
C3,shifrut,KO,C3_true_lo_gene_10,STATE,hybrid,run_headline,True,C3_LO_gene,0.04414405440911651,0.044095893390476704,7.524532016840041,-0.9999999999999998,,,,-0.9999999999999998,,True
C3,shifrut,KO,C3_true_lo_gene_25,STATE,hybrid,run_headline,True,C3_LO_gene,0.10057899951934815,0.10095330253243447,7.5675269599806825,0.24853059718059756,,,,0.24853059718059756,,True
C3,shifrut,KO,C3_true_lo_gene_50,STATE,hybrid,run_headline,True,C3_LO_gene,0.0822168937753304,0.08370379073021468,7.46577772918981,-0.16229228487562025,,,,-0.16229228487562025,,True
