baseline,family,split,registry_task,action,headline_eligible,seed,ran,leak_free,n_train,n_test,n_test_strata,pearson_delta,pearson_delta_lo,pearson_delta_hi,pearson_delta_ontarget,e_distance,e_distance_lo,e_distance_hi,aucell_program_corr,aucell::TCR_activation,aucell::IL2_STAT5,aucell::proliferation,aucell::effector_cytokine,aucell::Treg_exhaustion,pred_bundle,cluster,dataset,modality
STATE,hybrid,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,23496,1598,2,0.044143137251656916,0.011703475447027352,0.07658279905628648,0.044094969763776415,7.524532016840041,7.50992232650221,7.539141707177873,-0.9999999999999998,,,,-0.9999999999999998,,/data1/home/chlee/projects/immune virtual cell/ivcbench/predictions/v2_native/C3_LO_gene__STATE__C3_true_lo_gene_10__shifrut.npz,C3,shifrut,KO
STATE,hybrid,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,19586,5508,5,0.10057974120643118,0.05982350296213954,0.14133597945072282,0.10095402580431379,7.5675269599806825,7.486913967005598,7.689864445544441,0.24853059718059756,,,,0.24853059718059756,,/data1/home/chlee/projects/immune virtual cell/ivcbench/predictions/v2_native/C3_LO_gene__STATE__C3_true_lo_gene_25__shifrut.npz,C3,shifrut,KO
STATE,hybrid,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,13547,11547,10,0.08221698890483063,0.0593393869175366,0.10341818203123887,0.08370397356554296,7.46577772918981,7.415345248927694,7.52453303391027,-0.16229228487562025,,,,-0.16229228487562025,,/data1/home/chlee/projects/immune virtual cell/ivcbench/predictions/v2_native/C3_LO_gene__STATE__C3_true_lo_gene_50__shifrut.npz,C3,shifrut,KO
STATE,hybrid,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,19418,1851,7,0.3078842198364106,0.1917877291834946,0.40333750974200955,0.2816790644794308,10.153263192275121,9.561924811853299,11.110081374262192,,,,,,,/data1/home/chlee/projects/immune virtual cell/ivcbench/predictions/v2_native/C3_LO_gene__STATE__C3_true_lo_gene_10__schmidt.npz,C3,schmidt,CRISPRa
STATE,hybrid,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,16153,5116,18,0.2869556321065701,0.19040044154468377,0.3819648586208653,0.26755932077990713,10.069518165827743,9.829060793179925,10.36324242943067,,,,,,,/data1/home/chlee/projects/immune virtual cell/ivcbench/predictions/v2_native/C3_LO_gene__STATE__C3_true_lo_gene_25__schmidt.npz,C3,schmidt,CRISPRa
STATE,hybrid,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,10469,10800,36,0.42042491078807354,0.3556753541801465,0.4759358400832116,0.3959148832880891,9.808657008187042,9.678092250633224,9.959761630487268,,,,,,,/data1/home/chlee/projects/immune virtual cell/ivcbench/predictions/v2_native/C3_LO_gene__STATE__C3_true_lo_gene_50__schmidt.npz,C3,schmidt,CRISPRa
STATE,hybrid,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,18320,1778,2,0.054659919247236136,0.042784369198568324,0.06653546929590395,0.054686918907755094,7.639239662697692,7.614986229107053,7.663493096288331,,,,,,,/data1/home/chlee/projects/immune virtual cell/ivcbench/predictions/v2_native/C3_LO_gene__STATE__C3_true_lo_gene_10__mccutcheon_CRISPRi.npz,C3,mccutcheon_CRISPRi,CRISPRi
STATE,hybrid,C3_true_lo_gene_25,C3_LO_gene,run_headline,True,0,True,True,15532,4566,6,0.028819271251098667,0.011907763469914335,0.04572448295953307,0.028766256095077086,8.214425030834468,7.657291389051781,9.11740380691713,,,,,,,/data1/home/chlee/projects/immune virtual cell/ivcbench/predictions/v2_native/C3_LO_gene__STATE__C3_true_lo_gene_25__mccutcheon_CRISPRi.npz,C3,mccutcheon_CRISPRi,CRISPRi
STATE,hybrid,C3_true_lo_gene_50,C3_LO_gene,run_headline,True,0,True,True,9681,10417,12,0.04490279476999112,0.02972367405933427,0.05923458214647444,0.04421098641414772,7.874549637404041,7.56481129188196,8.336392686549358,,,,,,,/data1/home/chlee/projects/immune virtual cell/ivcbench/predictions/v2_native/C3_LO_gene__STATE__C3_true_lo_gene_50__mccutcheon_CRISPRi.npz,C3,mccutcheon_CRISPRi,CRISPRi
STATE,hybrid,C3_true_lo_gene_10,C3_LO_gene,run_headline,True,0,True,True,15908,1781,2,0.18280850210198174,0.18056828968424501,0.1850487145197185,0.1828326236060583,7.615650253934348,7.551545139862892,7.679755368005804,,,,,,,/data1/home/chlee/projects/immune virtual cell/ivcbench/predictions/v2_native/C3_LO_gene__STATE__C3_true_lo_gene_10__mccutcheon_CRISPRa.npz,C3,mccutcheon_CRISPRa,CRISPRa
