baseline,family,split,action,ran,leak_free,n_train,n_test,n_test_strata,pearson_delta,pearson_delta_lo,pearson_delta_hi,e_distance,error,reason,unit
CINEMA-OT,ot,C2_lodo_D348,run_headline,True,True,119914,600,2,0.222715231068079,0.13318474811101974,0.3122457140251383,6.0447925289607065,,,D348
CINEMA-OT,ot,C2_lodo_D349,run_headline,True,True,119914,600,2,0.2137779478560573,0.0830921642726474,0.34446373143946724,6.199970170701199,,,D349
CINEMA-OT,ot,C2_lodo_D350,run_headline,True,True,119981,555,2,0.21389657691599978,-0.03569450389894904,0.4634876577309486,7.134628487445364,,,D350
CINEMA-OT,ot,C2_lodo_D351,run_headline,True,True,119914,600,2,0.22991168007482077,0.008687738519053061,0.45113562163058846,6.227641241844723,,,D351
CINEMA-OT,ot,C2_lodo_D352,run_headline,True,True,119914,600,2,0.2732086773778926,0.16359443647525293,0.3828229182805323,6.661855842436113,,,D352
CINEMA-OT,ot,C2_lodo_D353,run_headline,True,True,119931,583,2,0.26072190327424544,0.015069507864285302,0.5063742986842056,6.835407397727936,,,D353
CINEMA-OT,ot,C2_lodo_D354,run_headline,True,True,119914,600,2,0.2552020639574939,0.19073957005493447,0.3196645578600533,6.112116152810586,,,D354
CINEMA-OT,ot,C2_lodo_D355,run_headline,True,True,119914,600,2,0.4754094015954772,0.21813717955027195,0.7326816236406825,6.37705866756565,,,D355
CINEMA-OT,ot,C2_lodo_D356,run_headline,True,True,119973,541,2,0.19754881584210454,0.18100935230804768,0.2140882793761614,5.841518104384062,,,D356
CINEMA-OT,ot,C2_lodo_D357,run_headline,True,True,120054,460,2,0.2915218291920547,0.1290284455875268,0.4540152127965826,5.8394843627313895,,,D357
CINEMA-OT,ot,C2_lodo_D358,run_headline,True,True,119976,538,2,0.36397552763511587,0.27015353449104884,0.4577975207791829,5.861661385048844,,,D358
CINEMA-OT,ot,C2_lodo_D359,run_headline,True,True,119914,600,2,0.3662267836273576,0.2616157723527132,0.47083779490200195,6.474905306553851,,,D359
CINEMA-OT,ot,C2_lodo_D363,run_headline,True,True,119942,572,2,0.2106191536757323,0.10866592736367928,0.3125723799877853,5.415462062734531,,,D363
CINEMA-OT,ot,C2_lodo_D364,run_headline,True,True,120030,484,2,0.21323284326582828,0.19907453461504712,0.22739115191660944,5.684559995633029,,,D364
CINEMA-OT,ot,C2_lodo_D365,run_headline,True,True,119965,549,2,0.28187888448309684,0.06297744352710356,0.5007803254390901,5.875893820936565,,,D365
CINEMA-OT,ot,C2_lodo_D366,run_headline,True,True,119980,534,2,0.1475531686960655,-0.09121690616883142,0.3863232435609624,6.483802656784916,,,D366
