baseline,family,split,action,ran,leak_free,n_train,n_test,n_test_strata,pearson_delta,pearson_delta_lo,pearson_delta_hi,e_distance,error,reason,unit
CPA,latent,C2_lodo_D348,run_headline,True,True,119914,600,2,0.19224352781590423,0.15923813839187617,0.2252489172399323,6.029774681670834,,,D348
CPA,latent,C2_lodo_D349,run_headline,True,True,119914,600,2,0.13927897465791922,0.09444993410413613,0.1841080152117023,6.210479030432586,,,D349
CPA,latent,C2_lodo_D350,run_headline,True,True,119981,555,2,0.15969940279254605,-0.10450900217901894,0.423907807764111,7.160474040994786,,,D350
CPA,latent,C2_lodo_D351,run_headline,True,True,119914,600,2,0.19266216600747432,0.05038919057156413,0.3349351414433845,6.19681224957163,,,D351
CPA,latent,C2_lodo_D352,run_headline,True,True,119914,600,2,0.2026021798425638,0.12054704461994287,0.2846573150651847,6.673634187851162,,,D352
CPA,latent,C2_lodo_D353,run_headline,True,True,119931,583,2,0.24410871856118518,0.20111726407344482,0.28710017304892554,6.798048466440253,,,D353
CPA,latent,C2_lodo_D354,run_headline,True,True,119914,600,2,0.22508232860143054,0.19716217215284132,0.25300248505001977,5.979069747529207,,,D354
CPA,latent,C2_lodo_D355,run_headline,True,True,119914,600,2,0.45051739144051073,0.23461166235472547,0.666423120526296,6.331403940180837,,,D355
CPA,latent,C2_lodo_D356,run_headline,True,True,119973,541,2,0.19755230225562126,0.06382673774904743,0.3312778667621951,5.801065833653071,,,D356
CPA,latent,C2_lodo_D357,run_headline,True,True,120054,460,2,0.2697978605352426,0.2555815931696323,0.2840141279008528,5.614667391812973,,,D357
CPA,latent,C2_lodo_D358,run_headline,True,True,119976,538,2,0.24409173839846482,0.13320028936266548,0.35498318743426416,5.717011503263024,,,D358
CPA,latent,C2_lodo_D359,run_headline,True,True,119914,600,2,0.3116190563100002,0.2022044328755295,0.4210336797444709,6.4733185279997665,,,D359
CPA,latent,C2_lodo_D363,run_headline,True,True,119942,572,2,0.18195605913604684,0.0183700654068836,0.34554205286521006,5.4499526531635665,,,D363
CPA,latent,C2_lodo_D364,run_headline,True,True,120030,484,2,0.2148992214871655,0.0986532306476845,0.3311452123266465,5.638232595921389,,,D364
CPA,latent,C2_lodo_D365,run_headline,True,True,119965,549,2,0.250833725650818,-0.04921239327763413,0.5508798445792702,5.86139384904707,,,D365
CPA,latent,C2_lodo_D366,run_headline,True,True,119980,534,2,0.16191355629539336,-0.028193846316783185,0.3520209589075699,6.469237416842599,,,D366
CPA,latent,C2_lodo_D367,run_headline,True,True,120006,508,2,0.2957602188053401,0.14364702280190234,0.44787341480877785,5.456491548459108,,,D367
CPA,latent,C2_lodo_D368,run_headline,True,True,119980,534,2,0.17582263125999364,0.1396721208429153,0.211973141677072,5.8832900546209155,,,D368
CPA,latent,C2_lodo_D369,run_headline,True,True,119981,533,2,0.2303773824123061,0.050861292120204835,0.40989347270440735,6.858383851045277,,,D369
CPA,latent,C2_lodo_D370,run_headline,True,True,119914,600,2,0.16605726479933572,0.03470559034086536,0.2974089392578061,5.9423694578635455,,,D370
CPA,latent,C2_lodo_D371,run_headline,True,True,120095,419,2,0.08423527574636358,-0.07767845624694636,0.24614900773967352,7.1766288039238715,,,D371
CPA,latent,C2_lodo_D372,run_headline,True,True,120018,496,2,0.09804961154677783,0.09736984758387177,0.09872937550968389,6.252962454345423,,,D372
CPA,latent,C2_lodo_D373,run_headline,True,True,119938,576,2,0.13857821646407362,-0.0010453278307677501,0.278201760758915,6.279931987191872,,,D373
CPA,latent,C2_lodo_D374,run_headline,True,True,119935,579,2,0.11488186164116118,-0.008122598823977513,0.23788632210629987,6.549907592215771,,,D374
CPA,latent,C2_lodo_D378,run_headline,True,True,120143,371,2,0.22671772676485552,0.12915848210719227,0.32427697142251877,6.470757817975334,,,D378
CPA,latent,C2_lodo_D379,run_headline,True,True,120080,434,2,0.07599208815638844,0.06580151504370153,0.08618266126907535,6.199015447362708,,,D379
CPA,latent,C2_lodo_D380,run_headline,True,True,120173,341,2,0.08348364749177245,-0.10867968402756217,0.2756469790111071,6.559898325702609,,,D380
CPA,latent,C2_lodo_D381,run_headline,True,True,120172,342,2,0.19171359188773737,-0.04238406308993952,0.4258112468654143,5.8586835695908075,,,D381
CPA,latent,C2_lodo_D382,run_headline,True,True,119914,600,2,0.1777770110645347,0.07541722357600886,0.2801367985530605,6.093288542690857,,,D382
CPA,latent,C2_lodo_D383,run_headline,True,True,120241,273,2,0.2346956731080052,0.15973302766539413,0.30965831855061626,6.051748921261842,,,D383
CPA,latent,C2_lodo_D387,run_headline,True,True,120042,472,2,0.31269446383081334,0.22810245872315532,0.39728646893847136,5.65973987600892,,,D387
CPA,latent,C2_lodo_D388,run_headline,True,True,119914,600,2,0.22630422002236733,0.21414521219591867,0.23846322784881602,5.449702574090046,,,D388
CPA,latent,C2_lodo_D389,run_headline,True,True,119962,552,2,0.1904803407051453,0.037338005704042804,0.34362267570624777,5.764630919281641,,,D389
CPA,latent,C2_lodo_D390,run_headline,True,True,119961,553,2,0.1518114317742958,0.04236472143574204,0.26125814211284953,5.808501063521201,,,D390
CPA,latent,C2_lodo_D391,run_headline,True,True,119918,596,2,0.2635248536973888,0.19313513802715057,0.3339145693676271,5.783528434018001,,,D391
CPA,latent,C2_lodo_D392,run_headline,True,True,119914,600,2,0.16486053627076608,0.15892001499743375,0.1708010575440984,5.709864770619765,,,D392
CPA,latent,C2_lodo_D393,run_headline,True,True,119914,600,2,0.18279473279205477,0.1438541625918946,0.22173530299221497,5.276579622446084,,,D393
CPA,latent,C2_lodo_D394,run_headline,True,True,119914,600,2,0.238972577238816,0.1829347768566971,0.2950103776209349,4.806026565236788,,,D394
CPA,latent,C2_lodo_D395,run_headline,True,True,119914,600,2,0.16466294039420298,0.1362823359263087,0.19304354486209724,5.2365442347874875,,,D395
CPA,latent,C2_lodo_D396,run_headline,True,True,119914,600,2,0.2131763012961701,0.21086069744284042,0.2154919051494998,5.7088497244487995,,,D396
CPA,latent,C2_lodo_D397,run_headline,True,True,119914,600,2,0.22323639124227224,0.2107574673010316,0.23571531518351288,5.459493740852625,,,D397
CPA,latent,C2_lodo_D398,run_headline,True,True,119914,600,2,0.2233861955079215,0.08076190216745274,0.36601048884839027,5.82029309243658,,,D398
CPA,latent,C2_lodo_D405,run_headline,True,True,119914,600,2,0.24554359002943565,0.24023225589930128,0.25085492415957,4.982861028136232,,,D405
CPA,latent,C2_lodo_D406,run_headline,True,True,119914,600,2,0.29391019802591367,0.27538313083480087,0.31243726521702647,5.249186917326694,,,D406
CPA,latent,C2_lodo_D407,run_headline,True,True,119914,600,2,0.1585297566878311,0.08864758769797261,0.2284119256776896,5.710286787369687,,,D407
CPA,latent,C2_lodo_D408,run_headline,True,True,119914,600,2,0.04567647523191544,-0.048808318699637164,0.14016126916346805,5.427003830375071,,,D408
