n_train_donors,seed,eval_donor,metric,cellot_score,primary_baseline,baseline_score,delta_vs_primary,best_mmd,n_train_cells,n_test,n_ctrl,n_response_genes
8,0,D353,pearson_delta,0.4732,cell-mean,0.2556,0.2176,0.02995,9600,583,600,50
8,0,D353,e_distance,0.5281,donor-shift,6.5441,6.016,0.02995,9600,583,600,50
8,0,D353,aucell_delta_score,-0.0109,donor-shift,-0.0228,0.0119,0.02995,9600,583,600,50
8,0,D364,pearson_delta,0.3828,cell-mean,0.2399,0.143,0.02995,9600,484,600,50
8,0,D364,e_distance,0.4827,donor-shift,5.064,4.5813,0.02995,9600,484,600,50
8,0,D364,aucell_delta_score,-0.0119,donor-shift,-0.0157,0.0037,0.02995,9600,484,600,50
8,0,D397,pearson_delta,0.4325,cell-mean,0.2133,0.2192,0.02995,9600,600,600,50
8,0,D397,e_distance,0.4428,cell-mean,5.162,4.7192,0.02995,9600,600,600,50
8,0,D397,aucell_delta_score,-0.0117,donor-shift,-0.0244,0.0128,0.02995,9600,600,600,50
8,0,D411,pearson_delta,0.3069,cell-mean,0.1326,0.1743,0.02995,9600,600,600,50
8,0,D411,e_distance,0.5108,donor-shift,4.8919,4.3811,0.02995,9600,600,600,50
8,0,D411,aucell_delta_score,-0.012,donor-shift,-0.0223,0.0103,0.02995,9600,600,600,50
8,0,D424,pearson_delta,0.3228,donor-shift,-0.0742,0.3969,0.02995,9600,300,600,50
8,0,D424,e_distance,0.5068,donor-shift,5.2882,4.7814,0.02995,9600,300,600,50
8,0,D424,aucell_delta_score,-0.0119,donor-shift,-0.0196,0.0077,0.02995,9600,300,600,50
8,0,D429,pearson_delta,0.4569,cell-mean,0.1946,0.2623,0.02995,9600,600,600,50
8,0,D429,e_distance,0.4773,donor-shift,5.5299,5.0526,0.02995,9600,600,600,50
8,0,D429,aucell_delta_score,-0.0113,cell-mean,-0.0432,0.032,0.02995,9600,600,600,50
8,0,D431,pearson_delta,0.4318,cell-mean,0.3291,0.1028,0.02995,9600,600,600,50
8,0,D431,e_distance,0.4368,cell-mean,5.5565,5.1197,0.02995,9600,600,600,50
8,0,D431,aucell_delta_score,-0.0103,cell-mean,-0.046,0.0357,0.02995,9600,600,600,50
8,0,D454,pearson_delta,0.3897,cell-mean,0.5766,-0.187,0.02995,9600,300,300,50
8,0,D454,e_distance,0.34,donor-shift,5.7636,5.4236,0.02995,9600,300,300,50
8,0,D454,aucell_delta_score,-0.0057,donor-shift,-0.0223,0.0166,0.02995,9600,300,300,50
8,0,D483,pearson_delta,0.4924,cell-mean,0.2478,0.2446,0.02995,9600,600,600,50
8,0,D483,e_distance,0.325,cell-mean,5.156,4.831,0.02995,9600,600,600,50
8,0,D483,aucell_delta_score,-0.0123,cell-mean,-0.042,0.0297,0.02995,9600,600,600,50
8,0,D484,pearson_delta,0.5649,cell-mean,0.19,0.3749,0.02995,9600,600,600,50
8,0,D484,e_distance,0.3916,cell-mean,5.5101,5.1185,0.02995,9600,600,600,50
8,0,D484,aucell_delta_score,-0.013,donor-shift,-0.0232,0.0102,0.02995,9600,600,600,50
16,0,D353,pearson_delta,0.4277,cell-mean,0.246,0.1817,0.03009,17938,583,600,60
16,0,D353,e_distance,0.7224,donor-shift,6.4966,5.7741,0.03009,17938,583,600,60
16,0,D353,aucell_delta_score,-0.0157,cell-mean,-0.0438,0.0281,0.03009,17938,583,600,60
16,0,D364,pearson_delta,0.3563,cell-mean,0.2945,0.0618,0.03009,17938,484,600,60
16,0,D364,e_distance,0.5727,donor-shift,5.3562,4.7836,0.03009,17938,484,600,60
16,0,D364,aucell_delta_score,-0.0149,donor-shift,-0.0404,0.0256,0.03009,17938,484,600,60
16,0,D397,pearson_delta,0.385,cell-mean,0.3157,0.0694,0.03009,17938,600,600,60
16,0,D397,e_distance,0.4132,cell-mean,5.089,4.6758,0.03009,17938,600,600,60
16,0,D397,aucell_delta_score,-0.0128,cell-mean,-0.0377,0.0249,0.03009,17938,600,600,60
16,0,D411,pearson_delta,0.3364,cell-mean,0.2276,0.1088,0.03009,17938,600,600,60
16,0,D411,e_distance,0.4395,donor-shift,4.7826,4.3432,0.03009,17938,600,600,60
16,0,D411,aucell_delta_score,-0.0149,donor-shift,-0.0355,0.0206,0.03009,17938,600,600,60
16,0,D424,pearson_delta,0.3112,donor-shift,0.2665,0.0447,0.03009,17938,300,600,60
16,0,D424,e_distance,0.5355,donor-shift,5.1876,4.652,0.03009,17938,300,600,60
16,0,D424,aucell_delta_score,-0.0197,donor-shift,-0.0196,-0.0001,0.03009,17938,300,600,60
16,0,D429,pearson_delta,0.329,cell-mean,0.1292,0.1998,0.03009,17938,600,600,60
16,0,D429,e_distance,0.6909,donor-shift,5.5953,4.9044,0.03009,17938,600,600,60
16,0,D429,aucell_delta_score,-0.0147,donor-shift,-0.0355,0.0207,0.03009,17938,600,600,60
16,0,D431,pearson_delta,0.3457,cell-mean,0.232,0.1136,0.03009,17938,600,600,60
16,0,D431,e_distance,0.7062,cell-mean,5.6336,4.9273,0.03009,17938,600,600,60
16,0,D431,aucell_delta_score,-0.0118,cell-mean,-0.0456,0.0339,0.03009,17938,600,600,60
16,0,D454,pearson_delta,0.3796,cell-mean,0.5647,-0.1851,0.03009,17938,300,300,60
16,0,D454,e_distance,0.4634,donor-shift,5.7133,5.2499,0.03009,17938,300,300,60
16,0,D454,aucell_delta_score,-0.0094,donor-shift,-0.0223,0.0129,0.03009,17938,300,300,60
16,0,D483,pearson_delta,0.3933,cell-mean,0.3053,0.088,0.03009,17938,600,600,60
16,0,D483,e_distance,0.3564,cell-mean,5.1451,4.7887,0.03009,17938,600,600,60
16,0,D483,aucell_delta_score,-0.0121,cell-mean,-0.0461,0.034,0.03009,17938,600,600,60
16,0,D484,pearson_delta,0.446,cell-mean,0.2668,0.1792,0.03009,17938,600,600,60
16,0,D484,e_distance,0.4606,cell-mean,5.4327,4.9721,0.03009,17938,600,600,60
16,0,D484,aucell_delta_score,-0.0192,donor-shift,-0.033,0.0139,0.03009,17938,600,600,60
32,0,D353,pearson_delta,0.4933,cell-mean,0.2374,0.2559,0.03079,37362,583,600,50
32,0,D353,e_distance,0.5645,donor-shift,6.4678,5.9033,0.03079,37362,583,600,50
32,0,D353,aucell_delta_score,-0.018,donor-shift,-0.0386,0.0206,0.03079,37362,583,600,50
32,0,D364,pearson_delta,0.3614,cell-mean,0.283,0.0783,0.03079,37362,484,600,50
32,0,D364,e_distance,0.4707,donor-shift,5.1192,4.6485,0.03079,37362,484,600,50
32,0,D364,aucell_delta_score,-0.021,donor-shift,-0.0157,-0.0053,0.03079,37362,484,600,50
32,0,D397,pearson_delta,0.4503,cell-mean,0.2588,0.1915,0.03079,37362,600,600,50
32,0,D397,e_distance,0.427,cell-mean,5.2229,4.7959,0.03079,37362,600,600,50
