marker,alias,held_frac_pct,n_held_KO,predDelta,obsDelta_mean,obsDelta_sd,abs_err,sign_match_frac,sem,ci_lo,ci_hi,straddles_zero,effect_sd_units,z_vs_zero
surface_A0005_CD80,surface_A0005_CD80,25,74,-0.020123034715652466,-0.023331716656684875,0.030865095555782318,0.0032086819410324097,0.7972972972972973,0.003587994477962045,-0.030364056610219077,-0.016299376703150674,False,0.7559256252590436,-6.5027181061708665
surface_A0006_CD86,surface_A0006_CD86,25,74,0.004199609160423279,0.0032521646935492754,0.011547806672751904,0.0009474444668740034,0.6081081081081081,0.001342405258377529,0.0006210987344721329,0.005883230652626418,False,0.28162618111914295,2.4226400137019266
surface_A0007_PDL1,PD-L1 (CD274),25,74,0.015004873275756836,0.00892599206417799,0.070857934653759,0.006078881211578846,0.5,0.00823706758976333,-0.007218363749980285,0.025070347878336265,True,0.12597025453527622,1.0836371034845977
surface_A0008_PDL2,surface_A0008_PDL2,25,74,0.0038950927555561066,0.002771972445771098,0.017775407060980797,0.0011231203097850084,0.5540540540540541,0.0020663490985492303,-0.0012779973668722005,0.006821942258414397,True,0.15594424567952192,1.3414831248588543
surface_A0010_CD276,surface_A0010_CD276,25,74,-0.04364335536956787,-0.04779558628797531,0.06212826818227768,0.00415223091840744,0.7837837837837838,0.007222264475432538,-0.06195096454664615,-0.03364020802930447,False,0.7693049828420806,-6.617811691964224
surface_A0016_Galectin9,surface_A0016_Galectin9,25,74,0.016939491033554077,0.0162391047924757,0.026271676644682884,0.0007003862410783768,0.7837837837837838,0.00305402037578553,0.01025333484788458,0.022224874737066823,False,0.6181221325195599,5.3172876386912815
surface_A0020_CD270,surface_A0020_CD270,25,74,0.026931405067443848,0.025727529078722,0.05598815158009529,0.0012038759887218475,0.7702702702702703,0.0065084904188171125,0.012971122264116447,0.038483935893327555,False,0.45951738631551037,3.952918022947302
surface_A0021_OX40L,surface_A0021_OX40L,25,74,0.0005028173327445984,0.0015141651965677738,0.012170192785561085,0.0010113478638231754,0.5,0.0014147561743785408,-0.0012587059521198345,0.004287036345255383,True,0.12441587600520217,1.0702658337807929
surface_A0022_41BBL,surface_A0022_41BBL,25,74,0.012372761964797974,0.010713097639381886,0.013984943740069866,0.001659664325416088,0.8378378378378378,0.0016257166877482786,0.0075267514823295105,0.01389944379643426,False,0.7660451009671609,6.589769127744029
surface_A0023_CD155,surface_A0023_CD155,25,74,-0.0534517765045166,-0.06157474219799042,0.09353907406330109,0.008122965693473816,0.7567567567567568,0.010873696490141981,-0.0828867956974883,-0.04026268869849254,False,0.6582782950825522,-5.66272401053438
surface_A0024_Nectin2,surface_A0024_Nectin2,25,74,0.01867663860321045,0.018756980076432228,0.025388149544596672,8.034147322177887e-05,0.7972972972972973,0.002951312436634334,0.012972513993503784,0.024541446159360672,False,0.7388084761153556,6.355470821592383
surface_A0026_CD47,surface_A0026_CD47,25,74,-0.025951147079467773,-0.013505187816917896,0.07230278849601746,0.012445959262549877,0.581081081081081,0.00840502843725581,-0.029978740842974257,0.002968365209138464,True,0.1867865416789808,-1.606798587028607
