celltype,cytokine,n_nonzero
B_cell,FLT3L,3
B_cell,GDNF,4
B_cell,IL-26,4
B_cell,IL-36-alpha,4
B_cell,TPO,4
CD4_Memory_T_cell,IL-17E,4
CD4_Memory_T_cell,IL-26,2
CD4_Memory_T_cell,SCF,4
CD4_Naive_T_cell,4-1BBL,4
CD4_Naive_T_cell,GDNF,4
CD4_Naive_T_cell,IL-26,3
CD4_Naive_T_cell,TPO,3
CD4_T_cell,CD40L,3
CD4_T_cell,IL-26,3
CD4_T_cell,IL-36-alpha,4
CD4_T_cell,SCF,3
CD4_T_cell,TPO,4
CD8_Memory_T_cell,IL-26,2
CD8_Memory_T_cell,IL-36-alpha,4
CD8_Naive_T_cell,IL-26,4
CD8_T_cell,IL-26,4
CD8_T_cell,IL-36-alpha,4
Granulocyte,4-1BBL,1
Granulocyte,ADSF,3
Granulocyte,CD40L,3
Granulocyte,CT-1,2
Granulocyte,EGF,3
Granulocyte,FGF-beta,3
Granulocyte,FLT3L,1
Granulocyte,G-CSF,2
Granulocyte,HGF,3
Granulocyte,IFN-beta,2
Granulocyte,IFN-gamma,1
Granulocyte,IFN-lambda1,3
Granulocyte,IFN-lambda2,1
Granulocyte,IL-11,2
Granulocyte,IL-12,3
Granulocyte,IL-17C,3
Granulocyte,IL-2,1
Granulocyte,IL-20,4
Granulocyte,IL-22,1
Granulocyte,IL-23,4
Granulocyte,IL-26,3
Granulocyte,IL-31,1
Granulocyte,IL-36-alpha,2
Granulocyte,IL-7,3
Granulocyte,IL-9,2
Granulocyte,LIF,3
Granulocyte,LT-alpha1-beta2,2
Granulocyte,Leptin,3
Granulocyte,Noggin,2
Granulocyte,OSM,3
Granulocyte,OX40L,2
Granulocyte,PRL,3
Granulocyte,TRAIL,1
HSPC,APRIL,4
HSPC,IL-11,3
HSPC,LT-alpha2-beta1,4
HSPC,PRL,1
ILC,EGF,4
ILC,FasL,4
ILC,G-CSF,4
ILC,IL-12,4
ILC,IL-17B,1
ILC,IL-17C,4
ILC,IL-17E,1
ILC,IL-19,1
ILC,IL-26,1
ILC,IL-3,3
ILC,IL-36-alpha,1
ILC,IL-5,1
ILC,LT-alpha1-beta2,1
ILC,TSLP,3
NK,IL-26,4
NK,SCF,4
NK_CD56hi,IL-26,3
NK_CD56low,IL-26,4
NK_CD56low,TPO,4
Naive_B_cell,FLT3L,3
Naive_B_cell,IL-26,4
Naive_B_cell,IL-33,4
Naive_B_cell,IL-36-alpha,3
Plasmablast,IFN-alpha1,3
Plasmablast,IL-36Ra,2
pDC,CD30L,3
pDC,EGF,1
pDC,FLT3L,2
pDC,IL-1-alpha,3
pDC,IL-11,1
pDC,IL-17E,2
pDC,IL-19,3
pDC,IL-1Ra,1
pDC,IL-23,2
pDC,IL-26,1
pDC,IL-8,1
pDC,Leptin,1
pDC,PSPN,2
pDC,RANKL,4
pDC,SCF,3
