baseline,family,split,action,ran,leak_free,n_train,n_test,n_test_strata,pearson_delta,pearson_delta_lo,pearson_delta_hi,e_distance,error,reason,unit
Biolord,latent,C2_lodo_D348,run_headline,True,True,119914,600,2,0.053938962519168854,-0.04100881516933441,0.14888674020767212,6.567813260233751,,,D348
Biolord,latent,C2_lodo_D349,run_headline,True,True,119914,600,2,0.06561141461133957,-0.24648995697498322,0.37771278619766235,7.370609791890809,,,D349
Biolord,latent,C2_lodo_D350,run_headline,True,True,119981,555,2,0.08247722126543522,0.03972502425312996,0.12522941827774048,7.6060239242660375,,,D350
Biolord,latent,C2_lodo_D351,run_headline,True,True,119914,600,2,0.04260139912366867,-0.24858568608760834,0.3337884843349457,7.356171921828154,,,D351
Biolord,latent,C2_lodo_D352,run_headline,True,True,119914,600,2,0.07757923007011414,-0.2310490906238556,0.38620755076408386,7.855571903267867,,,D352
Biolord,latent,C2_lodo_D353,run_headline,True,True,119931,583,2,0.11840641312301159,-0.019173000007867813,0.255985826253891,7.307351528001684,,,D353
Biolord,latent,C2_lodo_D354,run_headline,True,True,119914,600,2,0.07885969057679176,-0.11237215250730515,0.27009153366088867,7.098623388181343,,,D354
Biolord,latent,C2_lodo_D355,run_headline,True,True,119914,600,2,0.18264839053153992,-0.19723880290985107,0.5625355839729309,7.4247180751114685,,,D355
Biolord,latent,C2_lodo_D356,run_headline,True,True,119973,541,2,0.05762626603245735,-0.0431893989443779,0.1584419310092926,6.607895171564656,,,D356
Biolord,latent,C2_lodo_D357,run_headline,True,True,120054,460,2,0.07998237013816833,-0.04113885760307312,0.2011035978794098,6.46612599579361,,,D357
Biolord,latent,C2_lodo_D358,run_headline,True,True,119976,538,2,0.06330360472202301,-0.16968503594398499,0.296292245388031,7.083839032765663,,,D358
Biolord,latent,C2_lodo_D359,run_headline,True,True,119914,600,2,0.0925164669752121,0.08723945170640945,0.09779348224401474,7.813402928069993,,,D359
Biolord,latent,C2_lodo_D363,run_headline,True,True,119942,572,2,0.11304608266800642,0.014158686622977257,0.21193347871303558,6.268584491685925,,,D363
Biolord,latent,C2_lodo_D364,run_headline,True,True,120030,484,2,0.1026088297367096,0.07008296251296997,0.13513469696044922,6.311731691240045,,,D364
Biolord,latent,C2_lodo_D365,run_headline,True,True,119965,549,2,0.12906689196825027,-0.0671163946390152,0.32525017857551575,7.584926224985273,,,D365
Biolord,latent,C2_lodo_D366,run_headline,True,True,119980,534,2,-0.08656375110149384,-0.27168387174606323,0.09855636954307556,8.29980317708424,,,D366
Biolord,latent,C2_lodo_D367,run_headline,True,True,120006,508,2,0.12859949842095375,0.033985383808612823,0.22321361303329468,7.593300685751822,,,D367
Biolord,latent,C2_lodo_D368,run_headline,True,True,119980,534,2,0.06856606900691986,-0.16417041420936584,0.30130255222320557,7.120929215346884,,,D368
Biolord,latent,C2_lodo_D369,run_headline,True,True,119981,533,2,-0.031121276319026947,-0.03911910206079483,-0.023123450577259064,7.52561248734408,,,D369
Biolord,latent,C2_lodo_D370,run_headline,True,True,119914,600,2,0.06832791119813919,0.04136352241039276,0.09529229998588562,6.81395700550864,,,D370
Biolord,latent,C2_lodo_D371,run_headline,True,True,120095,419,2,0.060417601838707924,0.043590281158685684,0.07724492251873016,8.357573183019781,,,D371
Biolord,latent,C2_lodo_D372,run_headline,True,True,120018,496,2,0.04200791008770466,-0.048652853816747665,0.13266867399215698,7.332372330123837,,,D372
Biolord,latent,C2_lodo_D373,run_headline,True,True,119938,576,2,0.08102330379188061,0.04209602251648903,0.11995058506727219,6.880319500977911,,,D373
Biolord,latent,C2_lodo_D374,run_headline,True,True,119935,579,2,0.012242674827575684,-0.06707470118999481,0.09156005084514618,7.572630271129674,,,D374
