baseline,family,split,action,ran,leak_free,n_train,n_test,n_test_strata,pearson_delta,pearson_delta_lo,pearson_delta_hi,e_distance,error,reason,unit
CellFlow,flow,C2_lodo_D353,run_headline,True,True,119931,583,2,0.1881287693977356,0.0907004177570343,0.2855571210384369,6.757104263033577,,,D353
CellFlow,flow,C2_lodo_D359,run_headline,True,True,119914,600,2,0.3198636323213577,0.2693221867084503,0.37040507793426514,6.420392796162408,,,D359
CellFlow,flow,C2_lodo_D368,run_headline,True,True,119980,534,2,0.08675074763596058,0.048307765275239944,0.1251937299966812,5.852874728760539,,,D368
CellFlow,flow,C2_lodo_D374,run_headline,True,True,119935,579,2,0.009569109417498112,-0.019501784816384315,0.03864000365138054,6.496222595091991,,,D374
CellFlow,flow,C2_lodo_D383,run_headline,True,True,120241,273,2,0.20573516935110092,0.126140758395195,0.28532958030700684,6.0613221689149555,,,D383
CellFlow,flow,C2_lodo_D392,run_headline,True,True,119914,600,2,0.04765770025551319,0.02812528982758522,0.06719011068344116,5.896836422272367,,,D392
CellFlow,flow,C2_lodo_D398,run_headline,True,True,119914,600,2,0.2394600510597229,0.08016031980514526,0.39875978231430054,5.84664342896874,,,D398
CellFlow,flow,C2_lodo_D410,run_headline,True,True,119914,600,2,0.33937186002731323,0.1778462529182434,0.5008974671363831,4.994561785924211,,,D410
CellFlow,flow,C2_lodo_D416,run_headline,True,True,120161,353,2,0.2569742053747177,0.1806168258190155,0.3333315849304199,6.702527392743794,,,D416
CellFlow,flow,C2_lodo_D422,run_headline,True,True,120214,300,1,0.1533420979976654,0.1533420979976654,0.1533420979976654,5.286400199696825,,,D422
CellFlow,flow,C2_lodo_D428,run_headline,True,True,119999,515,2,0.18705492094159126,0.07126868516206741,0.3028411567211151,6.335197355825964,,,D428
CellFlow,flow,C2_lodo_D434,run_headline,True,True,120032,482,2,0.20928658917546272,0.06893423944711685,0.3496389389038086,5.776814074784962,,,D434
CellFlow,flow,C2_lodo_D442,run_headline,True,True,119914,600,2,0.15498924627900124,0.11524371057748795,0.19473478198051453,5.538593219945935,,,D442
CellFlow,flow,C2_lodo_D449,run_headline,True,True,119914,600,2,0.21925182198174298,0.004922440741211176,0.4335812032222748,5.372927008948354,,,D449
CellFlow,flow,C2_lodo_D455,run_headline,True,True,120130,466,2,0.2303120717406273,0.12228687107563019,0.3383372724056244,6.110451101439508,,,D455
CellFlow,flow,C2_lodo_D461,run_headline,True,True,119914,600,2,0.3100949004292488,0.23275022208690643,0.3874395787715912,5.404711156733069,,,D461
CellFlow,flow,C2_lodo_D481,run_headline,True,True,119914,600,2,0.2945399731397629,0.19259485602378845,0.3964850902557373,5.341242534296145,,,D481
