n_train_donors,seed,eval_donor,metric,scgpt_score,primary_baseline,baseline_score,delta_vs_primary,best_mmd,n_train_cells,n_test,n_ctrl,n_response_genes,fit_sec
8,0,D364,pearson_delta,0.2486,cell-mean,0.2399,0.0087,,9600,484,600,50,255.9
8,0,D364,e_distance,5.0863,donor-shift,5.0887,0.0024,,9600,484,600,50,255.9
8,0,D364,aucell_delta_score,-0.0157,donor-shift,-0.0157,0.0,,9600,484,600,50,255.9
8,0,D411,pearson_delta,0.1408,cell-mean,0.1326,0.0082,,9600,600,600,50,264.7
8,0,D411,e_distance,5.0131,donor-shift,4.9471,-0.0661,,9600,600,600,50,264.7
8,0,D411,aucell_delta_score,-0.0223,donor-shift,-0.0223,0.0,,9600,600,600,50,264.7
8,0,D429,pearson_delta,0.1631,cell-mean,0.1946,-0.0316,,9600,600,600,50,267.4
8,0,D429,e_distance,5.602,donor-shift,5.5427,-0.0593,,9600,600,600,50,267.4
8,0,D429,aucell_delta_score,-0.0355,cell-mean,-0.0432,0.0078,,9600,600,600,50,267.4
8,0,D454,pearson_delta,0.5479,cell-mean,0.5766,-0.0287,,9600,300,300,50,263.7
8,0,D454,e_distance,5.8989,donor-shift,5.8179,-0.0811,,9600,300,300,50,263.7
8,0,D454,aucell_delta_score,-0.0223,donor-shift,-0.0223,0.0,,9600,300,300,50,263.7
8,0,D484,pearson_delta,0.2074,cell-mean,0.19,0.0175,,9600,600,600,50,286.3
8,0,D484,e_distance,5.5404,cell-mean,5.5882,0.0478,,9600,600,600,50,286.3
8,0,D484,aucell_delta_score,-0.0232,donor-shift,-0.0232,0.0,,9600,600,600,50,286.3
