n_train_donors,seed,eval_donor,metric,scgpt_score,primary_baseline,baseline_score,delta_vs_primary,best_mmd,n_train_cells,n_test,n_ctrl,n_response_genes,fit_sec
8,0,D353,pearson_delta,0.2578,cell-mean,0.2556,0.0022,,9600,583,600,50,270.9
8,0,D353,e_distance,6.6589,donor-shift,6.5811,-0.0778,,9600,583,600,50,270.9
8,0,D353,aucell_delta_score,-0.0197,donor-shift,-0.0228,0.0031,,9600,583,600,50,270.9
8,0,D411,pearson_delta,0.1408,cell-mean,0.1326,0.0082,,9600,600,600,50,262.8
8,0,D411,e_distance,5.0131,donor-shift,4.9471,-0.0661,,9600,600,600,50,262.8
8,0,D411,aucell_delta_score,-0.0223,donor-shift,-0.0223,0.0,,9600,600,600,50,262.8
8,0,D431,pearson_delta,0.2978,cell-mean,0.3291,-0.0313,,9600,600,600,50,261.3
8,0,D431,e_distance,5.6293,cell-mean,5.5963,-0.033,,9600,600,600,50,261.3
8,0,D431,aucell_delta_score,-0.0255,cell-mean,-0.046,0.0205,,9600,600,600,50,261.3
8,0,D484,pearson_delta,0.2074,cell-mean,0.19,0.0175,,9600,600,600,50,259.8
8,0,D484,e_distance,5.5404,cell-mean,5.5882,0.0478,,9600,600,600,50,259.8
8,0,D484,aucell_delta_score,-0.0232,donor-shift,-0.0232,0.0,,9600,600,600,50,259.8
16,0,D353,pearson_delta,0.2606,cell-mean,0.246,0.0146,,17938,583,600,60,447.1
16,0,D353,e_distance,6.5659,donor-shift,6.5157,-0.0502,,17938,583,600,60,447.1
16,0,D353,aucell_delta_score,-0.0197,cell-mean,-0.0438,0.0241,,17938,583,600,60,447.1
16,0,D411,pearson_delta,0.1644,cell-mean,0.2276,-0.0632,,17938,600,600,60,451.0
16,0,D411,e_distance,4.9069,donor-shift,4.815,-0.0919,,17938,600,600,60,451.0
16,0,D411,aucell_delta_score,-0.0223,donor-shift,-0.0355,0.0132,,17938,600,600,60,451.0
16,0,D431,pearson_delta,0.2601,cell-mean,0.232,0.0281,,17938,600,600,60,426.9
16,0,D431,e_distance,5.6015,cell-mean,5.6701,0.0686,,17938,600,600,60,426.9
16,0,D431,aucell_delta_score,-0.0182,cell-mean,-0.0456,0.0274,,17938,600,600,60,426.9
16,0,D484,pearson_delta,0.2592,cell-mean,0.2668,-0.0076,,17938,600,600,60,440.3
16,0,D484,e_distance,5.4687,cell-mean,5.4685,-0.0002,,17938,600,600,60,440.3
16,0,D484,aucell_delta_score,-0.0232,donor-shift,-0.033,0.0098,,17938,600,600,60,440.3
