n_train_donors,seed,eval_donor,metric,cellot_score,primary_baseline,baseline_score,delta_vs_primary,best_mmd,n_train_cells,n_test,n_ctrl,n_response_genes
8,0,D353,pearson_delta,0.5119,cell-mean,0.2556,0.2562,0.02984,9600,583,600,50
8,0,D353,e_distance,0.4587,donor-shift,6.5441,6.0854,0.02984,9600,583,600,50
8,0,D353,aucell_delta_score,-0.0087,donor-shift,-0.0228,0.0141,0.02984,9600,583,600,50
8,0,D364,pearson_delta,0.3872,cell-mean,0.2399,0.1473,0.02984,9600,484,600,50
8,0,D364,e_distance,0.5034,donor-shift,5.064,4.5607,0.02984,9600,484,600,50
8,0,D364,aucell_delta_score,-0.0086,donor-shift,-0.0157,0.0071,0.02984,9600,484,600,50
8,0,D397,pearson_delta,0.5039,cell-mean,0.2133,0.2906,0.02984,9600,600,600,50
8,0,D397,e_distance,0.474,cell-mean,5.162,4.688,0.02984,9600,600,600,50
8,0,D397,aucell_delta_score,-0.015,donor-shift,-0.0244,0.0094,0.02984,9600,600,600,50
8,0,D411,pearson_delta,0.3383,cell-mean,0.1326,0.2058,0.02984,9600,600,600,50
8,0,D411,e_distance,0.6395,donor-shift,4.8919,4.2524,0.02984,9600,600,600,50
8,0,D411,aucell_delta_score,-0.0089,donor-shift,-0.0223,0.0135,0.02984,9600,600,600,50
8,0,D424,pearson_delta,0.2974,donor-shift,-0.0742,0.3716,0.02984,9600,300,600,50
8,0,D424,e_distance,0.6083,donor-shift,5.2882,4.6799,0.02984,9600,300,600,50
8,0,D424,aucell_delta_score,-0.0097,donor-shift,-0.0196,0.01,0.02984,9600,300,600,50
8,0,D429,pearson_delta,0.4573,cell-mean,0.1946,0.2627,0.02984,9600,600,600,50
8,0,D429,e_distance,0.4124,donor-shift,5.5299,5.1175,0.02984,9600,600,600,50
8,0,D429,aucell_delta_score,-0.0111,cell-mean,-0.0432,0.0321,0.02984,9600,600,600,50
8,0,D431,pearson_delta,0.4882,cell-mean,0.3291,0.1591,0.02984,9600,600,600,50
8,0,D431,e_distance,0.3723,cell-mean,5.5565,5.1842,0.02984,9600,600,600,50
8,0,D431,aucell_delta_score,-0.0105,cell-mean,-0.046,0.0355,0.02984,9600,600,600,50
8,0,D454,pearson_delta,0.4313,cell-mean,0.5766,-0.1453,0.02984,9600,300,300,50
8,0,D454,e_distance,0.3296,donor-shift,5.7636,5.4341,0.02984,9600,300,300,50
