wave,model,task,sec,hours,source,note
1 admission sweep,AttentionPert,T4p,76.0,0.021,raw/admission/sweep.log,rc=0
1 admission sweep,AttentionPert,T4p,90.0,0.025,raw/admission/sweep.log,rc=0
1 admission sweep,Biolord,T2,25529.0,7.091,raw/admission/sweep.log,rc=0
1 admission sweep,Biolord,T5c,1482.0,0.412,raw/admission/sweep.log,rc=0
1 admission sweep,Biolord,T5u,446.0,0.124,raw/admission/sweep.log,rc=0
1 admission sweep,CINEMA-OT,T1,188.0,0.052,raw/admission/sweep.log,rc=0
1 admission sweep,CINEMA-OT,T2,2203.0,0.612,raw/admission/sweep.log,rc=0
1 admission sweep,CINEMA-OT,T4,80.0,0.022,raw/admission/sweep.log,rc=0
1 admission sweep,CINEMA-OT,T4p,34.0,0.009,raw/admission/sweep.log,rc=0
1 admission sweep,CINEMA-OT,T4p,32.0,0.009,raw/admission/sweep.log,rc=0
1 admission sweep,CPA,T4p,2422.0,0.673,raw/admission/sweep.log,rc=0
1 admission sweep,CellOT,T4p,1485.0,0.412,raw/admission/sweep.log,rc=0
1 admission sweep,CellOT,T5c,2770.0,0.769,raw/admission/sweep.log,rc=0
1 admission sweep,CellOT,T5u,976.0,0.271,raw/admission/sweep.log,rc=0
1 admission sweep,PertAdapt,T1,667.0,0.185,raw/admission/sweep.log,rc=0
1 admission sweep,PertAdapt,T4,603.0,0.168,raw/admission/sweep.log,rc=0
1 admission sweep,PertAdapt,T4p,643.0,0.179,raw/admission/sweep.log,rc=0
1 admission sweep,PertAdapt,T5c,772.0,0.214,raw/admission/sweep.log,rc=0
1 admission sweep,PertAdapt,T5u,444.0,0.123,raw/admission/sweep.log,rc=0
1 admission sweep,SCREEN,T1,3790.0,1.053,raw/admission/sweep.log,rc=0
1 admission sweep,SCREEN,T2 (chunk 0),14375.0,3.993,raw/admission/sweep.log,rc=0
1 admission sweep,SCREEN,T2 (chunk 0),14993.0,4.165,raw/admission/sweep.log,rc=0
1 admission sweep,SCREEN,T2 (chunk 1),7221.0,2.006,raw/admission/sweep.log,rc=0
