dataset,held_donor,seed,cellot,binding_floor,gap_vs_floor,best_mmd,n_test,n_ctrl,ae_iters,cellot_iters,sec
kang,101,0,0.791287,0.331614,0.459673,0.030524,523,496,12000,8000,761.5
kang,101,1,0.821866,0.331614,0.490252,0.030588,523,496,12000,8000,757.3
kang,1015,0,0.834221,0.364537,0.469684,0.030957,530,530,12000,8000,752.1
kang,1015,1,0.821446,0.364537,0.456908,0.030655,530,530,12000,8000,739.0
kang,1016,0,0.828131,0.296022,0.53211,0.030464,505,507,12000,8000,750.6
kang,1016,1,0.813177,0.296022,0.517155,0.030631,505,507,12000,8000,692.2
kang,1039,0,0.763233,0.374493,0.38874,0.03053,315,257,12000,8000,742.2
kang,1039,1,0.761386,0.374493,0.386893,0.0307,315,257,12000,8000,755.0
kang,107,0,0.767583,0.341694,0.425889,0.030384,330,310,12000,8000,749.9
kang,107,1,0.771834,0.341694,0.430141,0.030413,330,310,12000,8000,753.2
kang,1244,0,0.785697,0.330583,0.455114,0.030723,433,495,12000,8000,752.1
kang,1244,1,0.80465,0.330583,0.474067,0.030805,433,495,12000,8000,755.0
kang,1256,0,0.831136,0.284197,0.546939,0.030477,529,509,12000,8000,752.8
kang,1256,1,0.835832,0.284197,0.551635,0.030649,529,509,12000,8000,750.2
kang,1488,0,0.853363,0.332281,0.521082,0.030457,526,519,12000,8000,748.6
kang,1488,1,0.843514,0.332281,0.511233,0.030557,526,519,12000,8000,751.8
