cluster,dataset,accession,access,route,status
C1,kang,GSE96583,public,GEO suppl (RAW.tar + batch tsne.df),downloaded
C1,oesinghaus,bioRxiv-2025.12.12.693897,public,Parse Biosciences + Allen Institute portal (theislab/HumanCytokineDict); ~9.7M cells,portal-download
C1,cano_gamez,EGAS00001003215,dac,EGA DAC (raw sc); EGAD00001005290,needs-DAC-email
C2,soskic,trynkalab-cog-bucket,public,trynkalab.cog.sanger.ac.uk processed h5ad (no DAC); raw EGAD00001008197,downloading
C3,shifrut,GSE119450,public,GEO RAW.tar,downloaded
C3,schmidt,GSE190604,public,GEO 10x mtx,downloaded
C3,mccutcheon,GSE218985,public,GEO RAW.tar (subseries of GSE218988),downloading
C3,chen,PRJDB16517,login,DDBJ BioProject PRJDB16517 + GEA E-GEAD-648 (no GEO); human FOXP3 Perturb-icCITE-seq (Nature 642:191) — CORRECTED from mis-mapped GSE255832; verified by audit,needs-download
C3,zhu,GSE314342,login,CZI VCP CLI processed (free account); GEO raw GSE314342_RAW.tar=160GB (impractical); bulk CSVs public,needs-vcp-cli
C3,moonen,bioRxiv-2026.03.09.710372,login,CZI Virtual Cells Platform CLI (free account); 4.1M cells + 1032 CREs,needs-vcp-cli
C4,frangieh,scPerturb-zenodo-13350497,public,scPerturb Zenodo h5ad RNA(1.46GB)+protein(25MB) — no SCP login; record 13350497 verified by successful download,downloaded
C4,belk,GSE203592,public,GEO Seurat .rds (Perturb-seq; super-series GSE203593); MOUSE in-vitro+in-vivo exhaustion screen (verified),downloaded
C4,zhou,GSE216800,public,Nature 2023 s41586-023-06733-x SuperSeries (scCRISPR subseries GSE216909); MOUSE OT-I CD8 in-vivo B16-OVA; verified by audit,confirmed
C4,pretto,GSE255832,public,MOUSE OT-I CD8 in-vivo metabolic CROP-seq (Pretto 2025 Nat Metab); was mis-labeled C3/chen — mouse, C4 in-vivo arm,downloaded
C5,op3,GSE279945,public,GEO sc_counts h5ad (14GB),downloading
